"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"31.12.2004","1,3558","1,3638","1,3662","1,3511","-0,59%"
"30.12.2004","1,3639","1,3609","1,3671","1,3575","0,25%"
"29.12.2004","1,3605","1,3615","1,3647","1,3556","-0,04%"
"28.12.2004","1,3611","1,3617","1,3647","1,3588","-0,04%"
"27.12.2004","1,3616","1,3530","1,3642","1,3514","0,63%"
"24.12.2004","1,3531","1,3518","1,3552","1,3487","0,15%"
"23.12.2004","1,3511","1,3390","1,3520","1,3381","0,92%"
"22.12.2004","1,3388","1,3369","1,3407","1,3344","0,13%"
"21.12.2004","1,3371","1,3396","1,3409","1,3350","-0,17%"
"20.12.2004","1,3394","1,3334","1,3415","1,3298","0,64%"
"17.12.2004","1,3309","1,3241","1,3318","1,3226","0,49%"
"16.12.2004","1,3244","1,3400","1,3431","1,3204","-1,05%"
"15.12.2004","1,3385","1,3303","1,3447","1,3261","0,62%"
"14.12.2004","1,3303","1,3315","1,3338","1,3258","-0,06%"
"13.12.2004","1,3311","1,3197","1,3329","1,3188","0,65%"
"10.12.2004","1,3225","1,3315","1,3318","1,3137","-0,71%"
"09.12.2004","1,3319","1,3340","1,3365","1,3251","-0,14%"
"08.12.2004","1,3338","1,3427","1,3436","1,3193","-0,66%"
"07.12.2004","1,3426","1,3406","1,3471","1,3388","0,19%"
"06.12.2004","1,3401","1,3442","1,3458","1,3389","-0,41%"
"03.12.2004","1,3456","1,3271","1,3463","1,3256","1,40%"
"02.12.2004","1,3270","1,3346","1,3384","1,3234","-0,44%"
"01.12.2004","1,3329","1,3283","1,3337","1,3274","0,27%"
"30.11.2004","1,3293","1,3279","1,3335","1,3230","0,16%"
"29.11.2004","1,3272","1,3268","1,3304","1,3228","-0,16%"
"26.11.2004","1,3293","1,3249","1,3333","1,3184","0,35%"
"25.11.2004","1,3247","1,3188","1,3251","1,3161","0,53%"
"24.11.2004","1,3177","1,3088","1,3181","1,3080","0,73%"
"23.11.2004","1,3082","1,3046","1,3107","1,2974","0,30%"
"22.11.2004","1,3043","1,3035","1,3053","1,3009","0,18%"
"19.11.2004","1,3020","1,2960","1,3070","1,2938","0,49%"
"18.11.2004","1,2956","1,3033","1,3076","1,2939","-0,64%"
"17.11.2004","1,3039","1,2957","1,3050","1,2950","0,63%"
"16.11.2004","1,2957","1,2944","1,2995","1,2916","0,07%"
"15.11.2004","1,2948","1,2976","1,3001","1,2915","-0,22%"
"12.11.2004","1,2976","1,2906","1,2990","1,2875","0,54%"
