<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.02	14:00:00	267.00	268.22	266.54	266.55	2138	0	3
2019.12.02	15:00:00	266.54	266.54	263.73	263.73	4718	0	3
2019.12.02	16:00:00	263.76	264.84	263.46	264.65	3725	0	3
2019.12.02	17:00:00	264.65	264.94	263.74	264.59	2554	0	3
2019.12.02	18:00:00	264.59	265.60	264.55	265.35	1616	0	3
2019.12.02	19:00:00	265.35	265.73	265.14	265.46	1636	0	3
2019.12.02	20:00:00	265.46	265.53	264.37	264.49	2570	0	3
2019.12.03	14:00:00	256.78	258.44	256.35	257.71	3286	0	3
2019.12.03	15:00:00	257.73	258.42	256.79	257.00	5773	0	3
2019.12.03	16:00:00	256.97	257.90	256.62	257.54	3991	0	3
2019.12.03	17:00:00	257.54	258.26	257.16	257.94	2504	0	3
2019.12.03	18:00:00	257.94	259.28	257.89	258.51	2345	0	3
2019.12.03	19:00:00	258.52	258.93	257.85	258.44	2596	0	3
2019.12.03	20:00:00	258.45	259.50	258.25	259.31	2960	0	3
2019.12.04	14:00:00	260.95	261.84	260.69	261.47	1975	0	3
2019.12.04	15:00:00	261.40	262.13	261.11	262.13	2855	0	3
2019.12.04	16:00:00	262.11	263.29	262.04	262.84	2041	0	3
2019.12.04	17:00:00	262.86	262.93	262.12	262.79	1665	0	3
2019.12.04	18:00:00	262.80	262.81	262.06	262.28	1113	0	3
2019.12.04	19:00:00	262.27	262.96	262.18	262.83	1364	0	3
2019.12.04	20:00:00	262.83	262.86	261.72	261.78	1798	0	3
2019.12.05	14:00:00	263.18	264.72	263.17	264.31	2389	0	3
2019.12.05	15:00:00	264.26	264.34	262.71	263.69	4083	0	3
2019.12.05	16:00:00	263.68	264.44	263.50	264.35	2716	0	3
2019.12.05	17:00:00	264.35	264.37	263.75	264.29	1854	0	3
2019.12.05	18:00:00	264.29	265.28	264.19	264.93	1859	0	3
2019.12.05	19:00:00	264.91	265.55	264.70	264.98	1881	0	3
2019.12.05	20:00:00	264.99	265.87	264.91	265.45	1882	0	3
2019.12.06	14:00:00	267.82	269.16	267.82	269.07	1947	0	3
2019.12.06	15:00:00	269.06	269.61	268.79	269.39	2401	0	3
2019.12.06	16:00:00	269.40	270.44	269.30	270.21	1736	0	3
2019.12.06	17:00:00	270.19	270.98	270.17	270.77	1535	0	3
2019.12.06	18:00:00	270.77	270.82	269.94	270.07	1272	0	3
2019.12.06	19:00:00	270.07	270.65	269.87	270.38	1194	0	3
2019.12.06	20:00:00	270.39	270.78	269.96	270.56	1656	0	3
2019.12.09	14:00:00	270.00	270.73	269.13	269.57	2240	0	3
2019.12.09	15:00:00	269.56	269.86	269.14	269.58	3071	0	3
2019.12.09	16:00:00	269.59	269.60	265.93	266.22	3124	0	3
2019.12.09	17:00:00	266.21	266.48	264.89	265.66	3541	0	3
2019.12.09	18:00:00	265.67	267.40	265.57	267.20	2686	0	3
2019.12.09	19:00:00	267.24	267.41	266.43	267.18	2328	0	3
2019.12.09	20:00:00	267.20	267.53	266.59	266.76	2407	0	3
