<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.01.01	1.25970	1.26060	1.25330	1.25720	1737	0	40
2004.01.02	1.25710	1.26310	1.25230	1.25960	9131	0	40
2004.01.04	1.26090	1.26740	1.26080	1.26570	901	0	40
2004.01.05	1.26580	1.26980	1.26320	1.26800	10894	0	40
2004.01.06	1.26810	1.28140	1.26670	1.27200	10839	0	40
2004.01.07	1.27200	1.27470	1.26170	1.26330	11144	0	40
2004.01.08	1.26320	1.27880	1.25600	1.27600	11278	0	40
2004.01.09	1.27590	1.28700	1.27030	1.28200	10377	0	40
2004.01.11	1.28420	1.28590	1.28380	1.28410	649	0	40
2004.01.12	1.28410	1.29010	1.27150	1.27200	11120	0	40
2004.01.13	1.27210	1.28000	1.27120	1.27610	11634	0	40
2004.01.14	1.27600	1.27690	1.26280	1.26400	11746	0	40
2004.01.15	1.26410	1.26740	1.25600	1.25980	11654	0	40
2004.01.16	1.25980	1.26010	1.23510	1.23950	10491	0	40
2004.01.18	1.23830	1.24050	1.23720	1.23770	843	0	40
2004.01.19	1.23770	1.24270	1.23330	1.23660	10441	0	40
2004.01.20	1.23650	1.26020	1.23570	1.25760	11572	0	40
2004.01.21	1.25740	1.26750	1.25480	1.26650	11477	0	40
2004.01.22	1.26630	1.27520	1.26330	1.27170	11297	0	40
2004.01.23	1.27190	1.27790	1.25620	1.25860	10144	0	40
2004.01.25	1.25800	1.25890	1.25610	1.25630	619	0	40
2004.01.26	1.25630	1.26170	1.24560	1.24790	11894	0	40
2004.01.27	1.24790	1.26650	1.24370	1.26190	11706	0	40
2004.01.28	1.26190	1.26460	1.24100	1.24700	12857	0	40
2004.01.29	1.24710	1.25320	1.23620	1.24040	11965	0	40
2004.01.30	1.24030	1.24950	1.23500	1.24670	11096	0	40
2004.02.01	1.24810	1.24910	1.24670	1.24680	684	0	40
2004.02.02	1.24680	1.24820	1.23910	1.24260	10490	0	40
2004.02.03	1.24270	1.26010	1.24240	1.25230	11908	0	40
2004.02.04	1.25240	1.25650	1.24900	1.25330	12100	0	40
2004.02.05	1.25350	1.26400	1.25200	1.25630	11978	0	40
2004.02.06	1.25630	1.27270	1.25120	1.27050	10954	0	40
2004.02.08	1.26190	1.26980	1.26060	1.26860	850	0	40
2004.02.09	1.26830	1.27640	1.26510	1.26880	12496	0	40
2004.02.10	1.26880	1.27910	1.26670	1.26950	13000	0	40
2004.02.11	1.26960	1.28490	1.26470	1.28160	12762	0	40
2004.02.12	1.28170	1.28480	1.27860	1.28120	12169	0	40
2004.02.13	1.28170	1.28940	1.27150	1.27330	10959	0	40
2004.02.15	1.27280	1.27440	1.27230	1.27390	699	0	40
2004.02.16	1.27350	1.27930	1.27180	1.27710	9999	0	40
2004.02.17	1.27720	1.28780	1.27600	1.28600	10130	0	40
2004.02.18	1.28600	1.29300	1.26600	1.27180	11126	0	40
2004.02.19	1.27190	1.27690	1.26470	1.27420	10585	0	40
2004.02.20	1.27410	1.27630	1.24930	1.25410	10130	0	40
2004.02.22	1.25170	1.25220	1.24540	1.24770	905	0	40
2004.02.23	1.24730	1.25960	1.24500	1.25530	10160	0	40
2004.02.24	1.25530	1.27160	1.25220	1.26770	10469	0	40
2004.02.25	1.26780	1.27090	1.24760	1.25000	10539	0	40
2004.02.26	1.25000	1.25170	1.23820	1.24430	10528	0	40
2004.02.27	1.24430	1.25100	1.23710	1.24950	9724	0	40
2004.02.29	1.24810	1.25380	1.24800	1.25220	753	0	40
2004.03.01	1.25220	1.25440	1.24260	1.24450	9967	0	40
2004.03.02	1.24450	1.24520	1.21650	1.22040	10428	0	40
2004.03.03	1.22040	1.22200	1.20560	1.21670	11198	0	40
2004.03.04	1.21670	1.22430	1.21340	1.21920	10818	0	40
2004.03.05	1.21940	1.24330	1.21740	1.23610	9835	0	40
2004.03.07	1.23660	1.23830	1.23530	1.23590	671	0	40
2004.03.08	1.23600	1.24270	1.23370	1.24170	9791	0	40
2004.03.09	1.24170	1.24630	1.22740	1.23160	10939	0	40
2004.03.10	1.23150	1.23420	1.21980	1.22140	10620	0	40
2004.03.11	1.22150	1.23890	1.21620	1.23350	11598	0	40
2004.03.12	1.23350	1.23400	1.21730	1.22210	10017	0	40
2004.03.14	1.22100	1.22390	1.22000	1.22250	733	0	40
2004.03.15	1.22250	1.23190	1.22070	1.22510	10456	0	40
2004.03.16	1.22520	1.23750	1.22300	1.22540	10733	0	40
2004.03.17	1.22550	1.22920	1.21770	1.22520	10370	0	40
2004.03.18	1.22520	1.24380	1.22380	1.23850	11305	0	40
2004.03.19	1.23870	1.24100	1.22560	1.22830	9612	0	40
2004.03.21	1.22740	1.22830	1.22550	1.22570	630	0	40
2004.03.22	1.22570	1.24030	1.22220	1.23270	10067	0	40
2004.03.23	1.23270	1.23720	1.22640	1.23610	10013	0	40
2004.03.24	1.23620	1.23650	1.21040	1.21260	10747	0	40
2004.03.25	1.21270	1.22030	1.20960	1.21440	10987	0	40
2004.03.26	1.21440	1.22150	1.20700	1.21230	9670	0	40
2004.03.28	1.21180	1.21440	1.21060	1.21180	731	0	40
2004.03.29	1.21190	1.21710	1.20460	1.21580	9902	0	40
2004.03.30	1.21570	1.22290	1.21560	1.21810	10242	0	40
2004.03.31	1.21800	1.23250	1.21710	1.23040	10476	0	40
2004.04.01	1.23040	1.23910	1.22530	1.23550	10210	0	40
