<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.02	1418.65	1418.70	1413.95	1415.85	790	0	50
2011.01.03	1415.95	1423.80	1412.80	1415.90	17972	0	0
2011.01.04	1415.85	1417.10	1374.65	1384.35	26511	0	50
2011.01.05	1384.30	1384.45	1363.85	1375.00	26479	0	50
2011.01.06	1374.95	1379.75	1364.55	1370.40	25601	0	0
2011.01.07	1370.40	1378.75	1352.70	1369.00	27772	0	50
2011.01.09	1370.10	1372.65	1367.40	1369.20	981	0	65
2011.01.10	1369.15	1377.45	1365.40	1375.30	22264	0	50
2011.01.11	1375.15	1386.65	1372.65	1383.10	23068	0	50
2011.01.12	1382.95	1388.75	1376.55	1386.30	23263	0	50
2011.01.13	1386.25	1393.00	1369.45	1375.00	23896	0	0
2011.01.14	1374.95	1377.90	1354.90	1361.75	25892	0	50
2011.01.16	1361.45	1364.50	1361.40	1364.05	1116	0	50
2011.01.17	1364.00	1365.60	1357.10	1363.20	12419	0	50
2011.01.18	1363.15	1376.15	1361.30	1372.35	22470	0	50
2011.01.19	1372.55	1379.05	1366.90	1368.70	22980	0	50
2011.01.20	1368.65	1371.10	1343.15	1346.90	19967	0	50
2011.01.21	1346.90	1350.10	1337.65	1342.45	23015	0	50
2011.01.24	1349.20	1350.40	1331.25	1332.75	16328	0	50
2011.01.25	1332.80	1335.35	1322.55	1333.90	27818	0	0
2011.01.26	1333.85	1346.60	1324.90	1344.55	26627	0	30
2011.01.27	1344.50	1347.75	1310.20	1311.70	29767	0	50
2011.01.28	1311.55	1346.85	1308.15	1336.40	33714	0	50
2011.01.30	1339.85	1345.50	1339.65	1340.80	2461	0	140
2011.01.31	1340.85	1340.95	1322.95	1336.60	30224	0	50
2011.02.01	1336.65	1342.85	1325.35	1339.05	23224	0	50
2011.02.02	1339.10	1342.85	1326.55	1335.00	23469	0	0
2011.02.03	1334.95	1355.90	1324.75	1351.80	20205	0	50
