<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	73.436	73.473	73.389	73.428	1600	0	27
2020.11.01	23:00:00	73.432	73.518	73.180	73.285	3397	0	3
2020.11.02	00:00:00	73.287	73.441	73.280	73.344	5388	0	3
2020.11.02	01:00:00	73.343	73.557	73.313	73.516	4331	0	3
2020.11.02	02:00:00	73.516	73.535	73.392	73.452	3050	0	3
2020.11.02	03:00:00	73.451	73.458	73.402	73.418	1576	0	3
2020.11.02	04:00:00	73.414	73.453	73.282	73.303	2445	0	3
2020.11.02	05:00:00	73.303	73.424	73.302	73.360	2223	0	3
2020.11.02	06:00:00	73.360	73.484	73.227	73.363	3378	0	3
2020.11.02	07:00:00	73.364	73.493	73.334	73.493	4256	0	2
2020.11.02	08:00:00	73.492	73.525	73.371	73.494	5676	0	2
2020.11.02	09:00:00	73.493	73.661	73.474	73.616	4632	0	2
2020.11.02	10:00:00	73.617	73.676	73.564	73.653	4106	0	2
2020.11.02	11:00:00	73.651	73.773	73.623	73.743	4414	0	2
2020.11.02	12:00:00	73.742	73.752	73.650	73.685	4349	0	2
2020.11.02	13:00:00	73.685	73.809	73.683	73.774	4658	0	2
2020.11.02	14:00:00	73.774	73.870	73.730	73.834	6056	0	2
2020.11.02	15:00:00	73.835	73.937	73.749	73.765	7091	0	2
2020.11.02	16:00:00	73.765	73.850	73.746	73.824	3553	0	2
2020.11.02	17:00:00	73.826	73.871	73.789	73.818	2622	0	2
2020.11.02	18:00:00	73.820	73.832	73.772	73.806	2349	0	2
2020.11.02	19:00:00	73.806	73.930	73.805	73.897	2012	0	2
2020.11.02	20:00:00	73.896	73.959	73.895	73.954	2523	0	2
2020.11.02	21:00:00	73.952	73.957	73.857	73.857	1248	0	3
2020.11.02	22:00:00	73.867	73.897	73.832	73.845	667	0	18
2020.11.02	23:00:00	73.845	73.899	73.842	73.860	903	0	3
2020.11.03	00:00:00	73.860	73.978	73.859	73.913	1420	0	3
2020.11.03	01:00:00	73.913	73.957	73.798	73.943	2506	0	0
2020.11.03	02:00:00	73.943	73.945	73.782	73.854	2203	0	3
2020.11.03	03:00:00	73.855	73.941	73.675	73.781	2858	0	3
2020.11.03	04:00:00	73.781	73.781	73.613	73.622	1298	0	3
2020.11.03	05:00:00	73.622	73.802	73.610	73.760	1982	0	3
2020.11.03	06:00:00	73.760	73.823	73.690	73.737	2094	0	3
2020.11.03	07:00:00	73.737	73.945	73.683	73.928	4401	0	2
2020.11.03	08:00:00	73.927	74.303	73.887	74.297	5702	0	2
2020.11.03	09:00:00	74.296	74.678	74.257	74.599	4930	0	2
2020.11.03	10:00:00	74.597	74.611	74.443	74.478	2787	0	2
2020.11.03	11:00:00	74.478	74.714	74.476	74.687	4198	0	2
2020.11.03	12:00:00	74.687	74.761	74.612	74.629	4638	0	2
2020.11.03	13:00:00	74.628	74.791	74.555	74.581	5182	0	2
2020.11.03	14:00:00	74.581	74.715	74.581	74.617	6004	0	2
2020.11.03	15:00:00	74.618	74.978	74.606	74.925	7419	0	2
2020.11.03	16:00:00	74.924	75.016	74.810	74.816	5672	0	2
2020.11.03	17:00:00	74.819	74.892	74.781	74.814	2557	0	2
2020.11.03	18:00:00	74.814	74.850	74.737	74.750	2841	0	2
2020.11.03	19:00:00	74.750	74.755	74.661	74.693	2225	0	2
2020.11.03	20:00:00	74.693	74.804	74.634	74.734	2877	0	2
2020.11.03	21:00:00	74.733	74.949	74.698	74.810	2906	0	3
2020.11.03	22:00:00	74.807	74.945	74.664	74.930	2601	0	21
2020.11.03	23:00:00	74.929	75.383	74.925	75.238	7577	0	3
2020.11.04	00:00:00	75.237	75.474	74.578	74.612	13366	0	3
2020.11.04	01:00:00	74.612	74.985	74.583	74.682	13908	0	0
2020.11.04	02:00:00	74.681	74.771	74.160	74.463	17258	0	3
2020.11.04	03:00:00	74.462	75.014	74.460	74.647	13183	0	3
2020.11.04	04:00:00	74.651	74.766	74.433	74.485	8891	0	3
2020.11.04	05:00:00	74.485	74.773	74.418	74.574	8087	0	3
2020.11.04	06:00:00	74.573	74.669	74.313	74.446	6251	0	3
2020.11.04	07:00:00	74.441	74.480	74.075	74.285	10209	0	2
2020.11.04	08:00:00	74.284	74.439	74.206	74.255	9390	0	2
2020.11.04	09:00:00	74.255	74.570	74.204	74.448	6633	0	2
2020.11.04	10:00:00	74.450	74.530	74.245	74.432	5354	0	2
2020.11.04	11:00:00	74.431	74.559	74.350	74.503	5136	0	2
2020.11.04	12:00:00	74.505	74.829	74.455	74.805	10308	0	2
2020.11.04	13:00:00	74.805	74.833	74.549	74.575	7991	0	2
2020.11.04	14:00:00	74.574	74.695	74.447	74.666	7574	0	2
2020.11.04	15:00:00	74.668	74.825	74.614	74.806	7558	0	2
2020.11.04	16:00:00	74.804	75.136	74.693	75.080	6619	0	2
2020.11.04	17:00:00	75.080	75.152	75.024	75.071	5038	0	2
2020.11.04	18:00:00	75.074	75.202	75.011	75.075	4193	0	2
2020.11.04	19:00:00	75.075	75.116	75.004	75.089	2989	0	2
2020.11.04	20:00:00	75.088	75.118	74.931	74.988	3919	0	2
2020.11.04	21:00:00	74.989	75.103	74.978	75.022	2428	0	3
2020.11.04	22:00:00	74.976	75.041	74.842	74.887	2003	0	15
2020.11.04	23:00:00	74.888	75.060	74.864	74.989	2243	0	3
2020.11.05	00:00:00	74.987	75.004	74.733	74.802	5294	0	3
2020.11.05	01:00:00	74.802	74.844	74.692	74.737	5340	0	2
2020.11.05	02:00:00	74.738	74.782	74.562	74.740	4556	0	3
2020.11.05	03:00:00	74.739	74.873	74.725	74.829	3756	0	3
2020.11.05	04:00:00	74.828	74.847	74.696	74.724	2188	0	3
2020.11.05	05:00:00	74.722	74.861	74.657	74.774	2970	0	3
2020.11.05	06:00:00	74.773	74.878	74.741	74.828	2997	0	3
2020.11.05	07:00:00	74.824	75.051	74.800	75.031	7162	0	2
2020.11.05	08:00:00	75.032	75.262	74.987	75.051	8142	0	2
2020.11.05	09:00:00	75.051	75.239	74.996	75.185	5737	0	2
2020.11.05	10:00:00	75.184	75.231	75.054	75.134	5263	0	2
2020.11.05	11:00:00	75.138	75.197	75.047	75.133	6566	0	2
2020.11.05	12:00:00	75.132	75.347	75.097	75.220	7974	0	2
2020.11.05	13:00:00	75.219	75.219	74.958	75.142	9139	0	2
2020.11.05	14:00:00	75.143	75.215	75.041	75.158	7744	0	2
2020.11.05	15:00:00	75.159	75.416	75.159	75.383	9197	0	2
2020.11.05	16:00:00	75.384	75.414	75.262	75.312	6455	0	2
2020.11.05	17:00:00	75.313	75.388	75.226	75.360	4402	0	2
2020.11.05	18:00:00	75.361	75.447	75.344	75.402	3460	0	2
2020.11.05	19:00:00	75.400	75.462	75.339	75.405	4927	0	2
2020.11.05	20:00:00	75.406	75.413	75.205	75.397	4807	0	2
2020.11.05	21:00:00	75.396	75.452	75.342	75.342	2165	0	2
2020.11.05	22:00:00	75.344	75.364	75.153	75.209	987	0	6
2020.11.05	23:00:00	75.209	75.350	75.172	75.245	4785	0	3
2020.11.06	00:00:00	75.244	75.372	75.186	75.215	6832	0	3
2020.11.06	01:00:00	75.215	75.350	75.189	75.311	6869	0	3
2020.11.06	02:00:00	75.313	75.317	75.164	75.223	5822	0	3
2020.11.06	03:00:00	75.221	75.236	74.970	74.999	5122	0	3
2020.11.06	04:00:00	74.998	75.193	74.991	75.098	3362	0	3
2020.11.06	05:00:00	75.099	75.200	75.098	75.188	3293	0	3
2020.11.06	06:00:00	75.187	75.305	75.177	75.215	3532	0	3
2020.11.06	07:00:00	75.216	75.257	75.122	75.257	4043	0	2
2020.11.06	08:00:00	75.258	75.350	75.114	75.123	5914	0	2
2020.11.06	09:00:00	75.121	75.210	75.029	75.142	5438	0	2
2020.11.06	10:00:00	75.140	75.193	75.084	75.131	5082	0	2
2020.11.06	11:00:00	75.132	75.221	75.042	75.046	4119	0	2
2020.11.06	12:00:00	75.045	75.073	74.900	74.986	4927	0	2
2020.11.06	13:00:00	74.987	75.111	74.920	75.100	7624	0	2
2020.11.06	14:00:00	75.100	75.257	75.002	75.104	11850	0	2
2020.11.06	15:00:00	75.107	75.229	75.056	75.083	8888	0	2
2020.11.06	16:00:00	75.082	75.157	75.053	75.085	5332	0	2
2020.11.06	17:00:00	75.085	75.128	75.030	75.097	3492	0	2
2020.11.06	18:00:00	75.098	75.126	75.042	75.059	1816	0	2
2020.11.06	19:00:00	75.059	75.091	75.011	75.015	1310	0	2
2020.11.06	20:00:00	75.014	75.058	74.971	74.981	2726	0	3
2020.11.06	21:00:00	74.981	75.054	74.977	75.042	801	0	3
2020.11.08	22:00:00	75.170	75.218	75.072	75.133	1971	0	9
2020.11.08	23:00:00	75.136	75.305	75.086	75.233	4100	0	3
2020.11.09	00:00:00	75.232	75.262	75.090	75.133	4421	0	3
2020.11.09	01:00:00	75.133	75.273	75.117	75.264	5150	0	3
2020.11.09	02:00:00	75.264	75.345	75.217	75.318	3173	0	3
2020.11.09	03:00:00	75.316	75.351	75.262	75.341	2503	0	3
2020.11.09	04:00:00	75.342	75.484	75.330	75.435	2129	0	3
2020.11.09	05:00:00	75.435	75.568	75.421	75.552	2716	0	3
2020.11.09	06:00:00	75.551	75.567	75.421	75.470	3096	0	3
2020.11.09	07:00:00	75.470	75.544	75.355	75.415	4486	0	2
2020.11.09	08:00:00	75.413	75.511	75.328	75.353	5592	0	2
2020.11.09	09:00:00	75.355	75.546	75.330	75.397	4389	0	2
2020.11.09	10:00:00	75.397	75.492	75.364	75.485	2382	0	3
2020.11.09	11:00:00	75.486	76.296	75.440	76.278	8786	0	2
2020.11.09	12:00:00	76.276	77.011	76.093	77.002	19728	0	2
2020.11.09	13:00:00	77.000	77.039	76.666	76.820	14034	0	2
2020.11.09	14:00:00	76.820	77.004	76.797	76.879	11489	0	2
2020.11.09	15:00:00	76.879	76.997	76.702	76.898	13492	0	2
2020.11.09	16:00:00	76.901	76.902	76.727	76.775	9458	0	2
2020.11.09	17:00:00	76.775	76.896	76.726	76.843	6401	0	2
2020.11.09	18:00:00	76.842	76.854	76.698	76.734	4336	0	2
2020.11.09	19:00:00	76.735	76.892	76.718	76.869	4512	0	2
2020.11.09	20:00:00	76.869	76.954	76.677	76.719	6275	0	2
2020.11.09	21:00:00	76.719	76.755	76.653	76.721	2157	0	3
2020.11.09	22:00:00	76.750	76.750	76.501	76.519	622	0	19
2020.11.09	23:00:00	76.521	76.660	76.462	76.532	3972	0	3
2020.11.10	00:00:00	76.532	76.696	76.377	76.519	7345	0	3
2020.11.10	01:00:00	76.521	76.574	76.330	76.338	5974	0	0
2020.11.10	02:00:00	76.339	76.458	76.339	76.378	5300	0	3
2020.11.10	03:00:00	76.378	76.419	76.246	76.376	5587	0	3
2020.11.10	04:00:00	76.377	76.481	76.375	76.442	4014	0	3
2020.11.10	05:00:00	76.441	76.493	76.388	76.411	3205	0	3
2020.11.10	06:00:00	76.411	76.574	76.397	76.554	2985	0	3
2020.11.10	07:00:00	76.553	76.643	76.423	76.430	4001	0	2
2020.11.10	08:00:00	76.430	76.576	76.416	76.535	6374	0	2
2020.11.10	09:00:00	76.535	76.774	76.534	76.769	4085	0	2
2020.11.10	10:00:00	76.769	76.825	76.676	76.680	5841	0	2
2020.11.10	11:00:00	76.682	76.710	76.579	76.682	4938	0	2
2020.11.10	12:00:00	76.683	76.720	76.576	76.629	5484	0	2
2020.11.10	13:00:00	76.629	76.675	76.416	76.463	6007	0	2
2020.11.10	14:00:00	76.464	76.620	76.441	76.525	7994	0	2
2020.11.10	15:00:00	76.526	76.568	76.396	76.480	9585	0	2
2020.11.10	16:00:00	76.480	76.646	76.475	76.626	6484	0	2
2020.11.10	17:00:00	76.626	76.742	76.619	76.659	4736	0	2
2020.11.10	18:00:00	76.659	76.692	76.571	76.667	3017	0	2
2020.11.10	19:00:00	76.667	76.724	76.651	76.666	3904	0	2
2020.11.10	20:00:00	76.665	76.682	76.582	76.620	3080	0	2
2020.11.10	21:00:00	76.620	76.695	76.618	76.674	1539	0	3
2020.11.10	22:00:00	76.681	76.714	76.643	76.672	619	0	8
2020.11.10	23:00:00	76.672	76.742	76.627	76.649	1474	0	3
2020.11.11	00:00:00	76.647	76.699	76.517	76.525	3318	0	3
2020.11.11	01:00:00	76.525	76.671	76.507	76.626	4407	0	2
2020.11.11	02:00:00	76.626	76.839	76.571	76.757	3095	0	3
2020.11.11	03:00:00	76.757	76.918	76.755	76.844	3072	0	3
2020.11.11	04:00:00	76.843	76.870	76.778	76.845	1446	0	3
2020.11.11	05:00:00	76.845	76.920	76.830	76.893	1611	0	3
2020.11.11	06:00:00	76.895	76.945	76.866	76.920	1999	0	3
2020.11.11	07:00:00	76.919	77.100	76.857	76.867	4232	0	2
2020.11.11	08:00:00	76.867	76.986	76.812	76.977	6319	0	2
2020.11.11	09:00:00	76.977	77.009	76.911	76.956	4730	0	2
2020.11.11	10:00:00	76.956	76.971	76.864	76.915	2874	0	2
2020.11.11	11:00:00	76.916	76.964	76.759	76.762	2921	0	2
2020.11.11	12:00:00	76.761	76.767	76.648	76.716	5098	0	2
2020.11.11	13:00:00	76.718	76.822	76.664	76.791	5185	0	2
2020.11.11	14:00:00	76.789	76.811	76.687	76.688	5741	0	2
2020.11.11	15:00:00	76.689	76.802	76.661	76.728	6180	0	1
2020.11.11	16:00:00	76.728	76.762	76.683	76.711	3460	0	2
2020.11.11	17:00:00	76.712	76.809	76.704	76.800	2381	0	2
2020.11.11	18:00:00	76.799	76.818	76.771	76.798	1885	0	2
2020.11.11	19:00:00	76.798	76.832	76.686	76.711	2150	0	2
2020.11.11	20:00:00	76.712	76.743	76.677	76.724	2217	0	2
2020.11.11	21:00:00	76.724	76.787	76.718	76.755	1384	0	3
2020.11.11	22:00:00	76.755	76.755	76.702	76.706	2099	0	12
2020.11.11	23:00:00	76.707	76.789	76.698	76.782	1474	0	3
