<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	1.06214	1.06284	1.06160	1.06258	644	0	40
2020.11.01	23:00:00	1.06259	1.06330	1.06138	1.06206	3160	0	5
2020.11.02	00:00:00	1.06205	1.06304	1.06173	1.06185	2237	0	5
2020.11.02	01:00:00	1.06182	1.06282	1.06100	1.06261	2938	0	5
2020.11.02	02:00:00	1.06262	1.06283	1.06177	1.06255	2221	0	5
2020.11.02	03:00:00	1.06255	1.06257	1.06152	1.06160	922	0	5
2020.11.02	04:00:00	1.06159	1.06227	1.06094	1.06132	1525	0	5
2020.11.02	05:00:00	1.06132	1.06181	1.06101	1.06119	1204	0	5
2020.11.02	06:00:00	1.06119	1.06202	1.06017	1.06055	2368	0	5
2020.11.02	07:00:00	1.06054	1.06166	1.06043	1.06158	3302	0	5
2020.11.02	08:00:00	1.06160	1.06206	1.06073	1.06153	4636	0	5
2020.11.02	09:00:00	1.06150	1.06233	1.06111	1.06187	3068	0	5
2020.11.02	10:00:00	1.06187	1.06237	1.06126	1.06216	2685	0	5
2020.11.02	11:00:00	1.06216	1.06266	1.06187	1.06239	2664	0	5
2020.11.02	12:00:00	1.06237	1.06258	1.06190	1.06221	3010	0	5
2020.11.02	13:00:00	1.06221	1.06328	1.06207	1.06273	4307	0	5
2020.11.02	14:00:00	1.06273	1.06367	1.06254	1.06338	4783	0	5
2020.11.02	15:00:00	1.06338	1.06396	1.06302	1.06366	5890	0	5
2020.11.02	16:00:00	1.06367	1.06407	1.06297	1.06305	3830	0	5
2020.11.02	17:00:00	1.06305	1.06355	1.06278	1.06342	2582	0	5
2020.11.02	18:00:00	1.06349	1.06414	1.06349	1.06369	1598	0	5
2020.11.02	19:00:00	1.06368	1.06426	1.06331	1.06334	2240	0	5
2020.11.02	20:00:00	1.06334	1.06388	1.06332	1.06370	2704	0	5
2020.11.02	21:00:00	1.06370	1.06388	1.06324	1.06324	849	0	5
2020.11.02	22:00:00	1.06356	1.06424	1.06267	1.06299	517	0	33
2020.11.02	23:00:00	1.06295	1.06376	1.06290	1.06354	760	0	5
2020.11.03	00:00:00	1.06349	1.06448	1.06349	1.06368	1047	0	5
2020.11.03	01:00:00	1.06368	1.06382	1.06224	1.06224	1834	0	5
2020.11.03	02:00:00	1.06224	1.06284	1.06172	1.06210	1599	0	5
2020.11.03	03:00:00	1.06210	1.06303	1.06042	1.06194	2695	0	5
2020.11.03	04:00:00	1.06193	1.06194	1.06102	1.06124	1002	0	5
2020.11.03	05:00:00	1.06128	1.06265	1.06116	1.06241	1637	0	5
2020.11.03	06:00:00	1.06241	1.06276	1.06164	1.06221	1632	0	5
2020.11.03	07:00:00	1.06219	1.06310	1.06164	1.06309	3499	0	5
2020.11.03	08:00:00	1.06309	1.06562	1.06287	1.06550	5490	0	5
2020.11.03	09:00:00	1.06548	1.06732	1.06527	1.06683	3898	0	5
2020.11.03	10:00:00	1.06681	1.06780	1.06648	1.06777	1922	0	5
2020.11.03	11:00:00	1.06776	1.06865	1.06769	1.06856	2439	0	5
2020.11.03	12:00:00	1.06855	1.06898	1.06830	1.06848	3551	0	5
2020.11.03	13:00:00	1.06850	1.06940	1.06806	1.06808	4894	0	5
2020.11.03	14:00:00	1.06809	1.06892	1.06756	1.06758	4599	0	5
2020.11.03	15:00:00	1.06757	1.06826	1.06645	1.06722	5454	0	5
2020.11.03	16:00:00	1.06722	1.06863	1.06717	1.06785	4771	0	5
2020.11.03	17:00:00	1.06785	1.06887	1.06765	1.06880	2101	0	5
2020.11.03	18:00:00	1.06880	1.06936	1.06865	1.06898	1984	0	5
2020.11.03	19:00:00	1.06896	1.06900	1.06798	1.06894	2023	0	5
2020.11.03	20:00:00	1.06895	1.06972	1.06873	1.06938	2692	0	5
2020.11.03	21:00:00	1.06944	1.07006	1.06759	1.07006	2311	0	5
2020.11.03	22:00:00	1.07006	1.07006	1.06740	1.06807	594	0	28
2020.11.03	23:00:00	1.06808	1.07065	1.06805	1.06959	4188	0	5
2020.11.04	00:00:00	1.06959	1.07092	1.06717	1.06743	7680	0	5
2020.11.04	01:00:00	1.06745	1.06895	1.06658	1.06809	9030	0	5
2020.11.04	02:00:00	1.06809	1.06833	1.06513	1.06543	11269	0	5
2020.11.04	03:00:00	1.06543	1.06908	1.06536	1.06765	9050	0	5
2020.11.04	04:00:00	1.06770	1.06870	1.06740	1.06815	5888	0	5
2020.11.04	05:00:00	1.06816	1.06922	1.06744	1.06816	5039	0	5
2020.11.04	06:00:00	1.06820	1.06860	1.06727	1.06735	3496	0	5
2020.11.04	07:00:00	1.06734	1.06777	1.06657	1.06733	6909	0	5
2020.11.04	08:00:00	1.06732	1.06800	1.06590	1.06684	6189	0	5
2020.11.04	09:00:00	1.06686	1.06896	1.06685	1.06858	4453	0	5
2020.11.04	10:00:00	1.06857	1.07009	1.06839	1.06984	3429	0	5
2020.11.04	11:00:00	1.06985	1.07100	1.06957	1.07007	3667	0	5
2020.11.04	12:00:00	1.07006	1.07320	1.06990	1.07302	7502	0	5
2020.11.04	13:00:00	1.07302	1.07338	1.07122	1.07136	4729	0	5
2020.11.04	14:00:00	1.07136	1.07289	1.07128	1.07252	5560	0	5
2020.11.04	15:00:00	1.07251	1.07337	1.07131	1.07141	5158	0	5
2020.11.04	16:00:00	1.07145	1.07337	1.07103	1.07337	4835	0	5
2020.11.04	17:00:00	1.07336	1.07350	1.07226	1.07297	4189	0	5
2020.11.04	18:00:00	1.07297	1.07386	1.07269	1.07374	3200	0	5
2020.11.04	19:00:00	1.07376	1.07383	1.07230	1.07238	2787	0	5
2020.11.04	20:00:00	1.07238	1.07263	1.07113	1.07120	2840	0	5
2020.11.04	21:00:00	1.07119	1.07215	1.07059	1.07207	1374	0	5
2020.11.04	22:00:00	1.07136	1.07187	1.07064	1.07092	435	0	53
2020.11.04	23:00:00	1.07093	1.07228	1.07059	1.07171	2151	0	7
2020.11.05	00:00:00	1.07170	1.07199	1.07031	1.07125	2626	0	5
2020.11.05	01:00:00	1.07125	1.07194	1.07047	1.07055	3065	0	5
2020.11.05	02:00:00	1.07056	1.07057	1.06882	1.06923	2989	0	5
2020.11.05	03:00:00	1.06923	1.07087	1.06910	1.07043	2400	0	5
2020.11.05	04:00:00	1.07044	1.07065	1.06915	1.06995	1232	0	5
2020.11.05	05:00:00	1.06995	1.07042	1.06962	1.06974	1842	0	5
2020.11.05	06:00:00	1.06974	1.07092	1.06968	1.07081	1912	0	5
2020.11.05	07:00:00	1.07081	1.07167	1.07024	1.07048	5632	0	5
2020.11.05	08:00:00	1.07044	1.07232	1.07008	1.07151	7873	0	5
2020.11.05	09:00:00	1.07152	1.07266	1.07109	1.07204	4047	0	5
2020.11.05	10:00:00	1.07204	1.07311	1.07169	1.07202	3530	0	5
2020.11.05	11:00:00	1.07202	1.07216	1.07098	1.07182	3464	0	5
2020.11.05	12:00:00	1.07182	1.07310	1.07151	1.07269	5585	0	5
2020.11.05	13:00:00	1.07269	1.07281	1.07075	1.07244	6795	0	5
2020.11.05	14:00:00	1.07251	1.07298	1.07128	1.07278	6108	0	5
2020.11.05	15:00:00	1.07277	1.07508	1.07275	1.07468	8853	0	5
2020.11.05	16:00:00	1.07469	1.07506	1.07402	1.07452	5522	0	5
2020.11.05	17:00:00	1.07450	1.07499	1.07398	1.07470	3946	0	5
2020.11.05	18:00:00	1.07470	1.07522	1.07440	1.07474	2505	0	5
2020.11.05	19:00:00	1.07471	1.07589	1.07457	1.07586	4032	0	5
2020.11.05	20:00:00	1.07583	1.07584	1.07395	1.07520	4026	0	5
2020.11.05	21:00:00	1.07520	1.07597	1.07518	1.07556	1717	0	5
2020.11.05	22:00:00	1.07556	1.07556	1.07371	1.07442	771	0	45
2020.11.05	23:00:00	1.07446	1.07520	1.07319	1.07364	2792	0	5
2020.11.06	00:00:00	1.07364	1.07465	1.07198	1.07225	3190	0	5
2020.11.06	01:00:00	1.07225	1.07249	1.07134	1.07173	3059	0	5
2020.11.06	02:00:00	1.07173	1.07217	1.07093	1.07150	2951	0	5
2020.11.06	03:00:00	1.07149	1.07161	1.06996	1.07007	2101	0	5
2020.11.06	04:00:00	1.07007	1.07154	1.07007	1.07065	1654	0	5
2020.11.06	05:00:00	1.07064	1.07106	1.07015	1.07086	1471	0	5
2020.11.06	06:00:00	1.07087	1.07107	1.07012	1.07021	2039	0	5
2020.11.06	07:00:00	1.07020	1.07091	1.07004	1.07090	2961	0	5
2020.11.06	08:00:00	1.07093	1.07096	1.06995	1.07005	3658	0	5
2020.11.06	09:00:00	1.07005	1.07127	1.06992	1.07112	3319	0	5
2020.11.06	10:00:00	1.07118	1.07150	1.07073	1.07150	3345	0	5
2020.11.06	11:00:00	1.07150	1.07179	1.07020	1.07039	2884	0	5
2020.11.06	12:00:00	1.07038	1.07063	1.06950	1.07030	4398	0	5
2020.11.06	13:00:00	1.07030	1.07093	1.06954	1.07038	6768	0	5
2020.11.06	14:00:00	1.07035	1.07141	1.07008	1.07110	9083	0	5
2020.11.06	15:00:00	1.07112	1.07220	1.07099	1.07115	7203	0	5
2020.11.06	16:00:00	1.07116	1.07166	1.07038	1.07150	4274	0	5
2020.11.06	17:00:00	1.07150	1.07199	1.07108	1.07187	2680	0	6
2020.11.06	18:00:00	1.07187	1.07271	1.07173	1.07243	1490	0	5
2020.11.06	19:00:00	1.07247	1.07285	1.07211	1.07257	1457	0	5
2020.11.06	20:00:00	1.07257	1.07275	1.07205	1.07248	2602	0	5
2020.11.06	21:00:00	1.07248	1.07287	1.07172	1.07173	609	0	5
2020.11.08	22:00:00	1.07129	1.07232	1.07085	1.07193	581	0	20
2020.11.08	23:00:00	1.07194	1.07238	1.07143	1.07194	2247	0	5
2020.11.09	00:00:00	1.07193	1.07199	1.07016	1.07032	1835	0	5
2020.11.09	01:00:00	1.07032	1.07059	1.06947	1.07038	2506	0	5
2020.11.09	02:00:00	1.07036	1.07036	1.06902	1.06918	1474	0	5
2020.11.09	03:00:00	1.06919	1.07001	1.06909	1.06974	1253	0	5
2020.11.09	04:00:00	1.06975	1.07111	1.06963	1.07070	1290	0	5
2020.11.09	05:00:00	1.07071	1.07148	1.07062	1.07143	1207	0	5
2020.11.09	06:00:00	1.07142	1.07149	1.07012	1.07048	2247	0	5
2020.11.09	07:00:00	1.07048	1.07108	1.06975	1.06986	3623	0	5
2020.11.09	08:00:00	1.06984	1.07096	1.06931	1.06938	3957	0	5
2020.11.09	09:00:00	1.06936	1.07006	1.06856	1.06874	2707	0	5
2020.11.09	10:00:00	1.06874	1.06928	1.06868	1.06921	1675	0	5
2020.11.09	11:00:00	1.06921	1.07211	1.06863	1.07155	6774	0	5
2020.11.09	12:00:00	1.07154	1.07302	1.07084	1.07179	13141	0	5
2020.11.09	13:00:00	1.07179	1.07187	1.06958	1.07062	8741	0	5
2020.11.09	14:00:00	1.07060	1.07179	1.07003	1.07069	8617	0	5
2020.11.09	15:00:00	1.07069	1.07180	1.06944	1.06969	9648	0	5
2020.11.09	16:00:00	1.06970	1.06997	1.06830	1.06865	7373	0	5
2020.11.09	17:00:00	1.06863	1.06928	1.06822	1.06872	3196	0	5
2020.11.09	18:00:00	1.06872	1.06879	1.06785	1.06873	2333	0	5
2020.11.09	19:00:00	1.06873	1.06896	1.06674	1.06739	2913	0	5
2020.11.09	20:00:00	1.06738	1.06792	1.06661	1.06691	3669	0	5
2020.11.09	21:00:00	1.06690	1.06779	1.06630	1.06725	1907	0	5
2020.11.09	22:00:00	1.06645	1.06749	1.06612	1.06701	429	0	5
2020.11.09	23:00:00	1.06699	1.06726	1.06612	1.06669	1824	0	5
2020.11.10	00:00:00	1.06669	1.06711	1.06590	1.06633	2872	0	5
2020.11.10	01:00:00	1.06633	1.06659	1.06568	1.06577	2451	0	5
2020.11.10	02:00:00	1.06579	1.06615	1.06506	1.06533	2624	0	5
2020.11.10	03:00:00	1.06533	1.06619	1.06508	1.06597	2345	0	5
2020.11.10	04:00:00	1.06597	1.06605	1.06500	1.06552	1584	0	5
2020.11.10	05:00:00	1.06552	1.06614	1.06532	1.06561	1235	0	5
2020.11.10	06:00:00	1.06561	1.06609	1.06554	1.06602	1985	0	5
2020.11.10	07:00:00	1.06602	1.06686	1.06602	1.06661	4425	0	5
2020.11.10	08:00:00	1.06661	1.06712	1.06619	1.06683	4666	0	5
2020.11.10	09:00:00	1.06684	1.06715	1.06616	1.06696	3183	0	5
2020.11.10	10:00:00	1.06697	1.06699	1.06541	1.06549	4091	0	5
2020.11.10	11:00:00	1.06552	1.06608	1.06540	1.06547	2757	0	5
2020.11.10	12:00:00	1.06545	1.06613	1.06541	1.06583	3847	0	5
2020.11.10	13:00:00	1.06581	1.06616	1.06415	1.06538	3605	0	5
2020.11.10	14:00:00	1.06538	1.06687	1.06517	1.06636	5898	0	5
2020.11.10	15:00:00	1.06640	1.06693	1.06510	1.06625	7985	0	5
2020.11.10	16:00:00	1.06624	1.06681	1.06595	1.06675	5702	0	5
2020.11.10	17:00:00	1.06675	1.06756	1.06639	1.06645	3755	0	5
2020.11.10	18:00:00	1.06645	1.06701	1.06625	1.06658	2746	0	5
2020.11.10	19:00:00	1.06660	1.06700	1.06569	1.06657	3129	0	5
2020.11.10	20:00:00	1.06667	1.06685	1.06634	1.06646	1608	0	5
2020.11.10	21:00:00	1.06643	1.06677	1.06506	1.06506	887	0	5
2020.11.10	22:00:00	1.06534	1.06667	1.06507	1.06632	321	0	20
2020.11.10	23:00:00	1.06631	1.06676	1.06618	1.06646	1301	0	5
2020.11.11	00:00:00	1.06647	1.06663	1.06564	1.06636	2184	0	5
2020.11.11	01:00:00	1.06636	1.06855	1.06191	1.06251	4123	0	3
2020.11.11	02:00:00	1.06250	1.06269	1.05977	1.06069	3067	0	5
2020.11.11	03:00:00	1.06072	1.06157	1.05952	1.06111	3066	0	5
2020.11.11	04:00:00	1.06108	1.06163	1.06054	1.06077	1193	0	5
2020.11.11	05:00:00	1.06079	1.06102	1.05961	1.06001	1028	0	5
2020.11.11	06:00:00	1.06001	1.06070	1.05947	1.06007	1833	0	5
2020.11.11	07:00:00	1.06007	1.06042	1.05891	1.05948	3275	0	5
2020.11.11	08:00:00	1.05947	1.06035	1.05891	1.05974	4560	0	5
2020.11.11	09:00:00	1.05974	1.06009	1.05866	1.05975	2770	0	5
2020.11.11	10:00:00	1.05975	1.06033	1.05923	1.05926	1657	0	5
2020.11.11	11:00:00	1.05928	1.05940	1.05808	1.05810	1627	0	5
2020.11.11	12:00:00	1.05811	1.05890	1.05766	1.05785	3742	0	5
2020.11.11	13:00:00	1.05788	1.05874	1.05773	1.05834	3405	0	5
2020.11.11	14:00:00	1.05834	1.05857	1.05761	1.05767	2561	0	5
2020.11.11	15:00:00	1.05765	1.05826	1.05749	1.05762	2603	0	5
2020.11.11	16:00:00	1.05762	1.05802	1.05721	1.05756	2839	0	5
2020.11.11	17:00:00	1.05756	1.05825	1.05746	1.05791	954	0	5
2020.11.11	18:00:00	1.05789	1.05849	1.05767	1.05814	1004	0	5
2020.11.11	19:00:00	1.05813	1.05831	1.05711	1.05715	1867	0	5
2020.11.11	20:00:00	1.05716	1.05772	1.05706	1.05710	1291	0	5
2020.11.11	21:00:00	1.05710	1.05782	1.05710	1.05774	784	0	5
2020.11.11	22:00:00	1.05780	1.05791	1.05694	1.05705	157	0	20
2020.11.11	23:00:00	1.05705	1.05756	1.05517	1.05530	790	0	5
2020.11.12	00:00:00	1.05532	1.05660	1.05532	1.05595	1571	0	5
2020.11.12	01:00:00	1.05599	1.05629	1.05461	1.05591	2253	0	5
2020.11.12	02:00:00	1.05591	1.05659	1.05533	1.05647	1540	0	5
2020.11.12	03:00:00	1.05647	1.05707	1.05624	1.05638	1318	0	5
2020.11.12	04:00:00	1.05638	1.05751	1.05630	1.05742	1238	0	5
2020.11.12	05:00:00	1.05745	1.05834	1.05724	1.05801	1121	0	5
2020.11.12	06:00:00	1.05801	1.05836	1.05681	1.05729	2433	0	5
2020.11.12	07:00:00	1.05729	1.05743	1.05643	1.05693	3574	0	5
2020.11.12	08:00:00	1.05694	1.05749	1.05687	1.05727	4178	0	5
2020.11.12	09:00:00	1.05726	1.05865	1.05709	1.05804	2635	0	5
2020.11.12	10:00:00	1.05804	1.05883	1.05702	1.05730	1685	0	5
2020.11.12	11:00:00	1.05730	1.05791	1.05668	1.05684	1598	0	5
2020.11.12	12:00:00	1.05685	1.05757	1.05640	1.05725	3049	0	5
2020.11.12	13:00:00	1.05725	1.05799	1.05675	1.05714	4173	0	5
2020.11.12	14:00:00	1.05715	1.05766	1.05599	1.05636	4841	0	5
2020.11.12	15:00:00	1.05637	1.05748	1.05616	1.05688	5078	0	5
2020.11.12	16:00:00	1.05687	1.05738	1.05653	1.05702	3792	0	5
2020.11.12	17:00:00	1.05702	1.05739	1.05643	1.05730	3370	0	5
2020.11.12	18:00:00	1.05726	1.05731	1.05653	1.05700	3324	0	5
2020.11.12	19:00:00	1.05700	1.05711	1.05617	1.05702	3442	0	5
2020.11.12	20:00:00	1.05703	1.05721	1.05647	1.05677	4034	0	5
2020.11.12	21:00:00	1.05680	1.05747	1.05662	1.05678	1247	0	5
2020.11.12	22:00:00	1.05673	1.05836	1.05565	1.05813	523	0	5
2020.11.12	23:00:00	1.05812	1.05901	1.05775	1.05866	1426	0	6
2020.11.13	00:00:00	1.05866	1.05893	1.05795	1.05819	1412	0	5
2020.11.13	01:00:00	1.05818	1.05868	1.05793	1.05862	2135	0	5
2020.11.13	02:00:00	1.05860	1.05914	1.05807	1.05895	1702	0	5
2020.11.13	03:00:00	1.05895	1.05942	1.05853	1.05932	1254	0	5
2020.11.13	04:00:00	1.05930	1.06032	1.05866	1.06030	1279	0	5
2020.11.13	05:00:00	1.06030	1.06063	1.05924	1.06036	1122	0	5
2020.11.13	06:00:00	1.06035	1.06113	1.06010	1.06051	1652	0	5
2020.11.13	07:00:00	1.06051	1.06092	1.05983	1.06082	2565	0	5
2020.11.13	08:00:00	1.06081	1.06174	1.05993	1.06148	3214	0	5
2020.11.13	09:00:00	1.06146	1.06308	1.06120	1.06184	2377	0	5
2020.11.13	10:00:00	1.06183	1.06260	1.06183	1.06197	1837	0	5
2020.11.13	11:00:00	1.06199	1.06220	1.06123	1.06129	1532	0	5
2020.11.13	12:00:00	1.06128	1.06222	1.06114	1.06120	2112	0	5
2020.11.13	13:00:00	1.06120	1.06189	1.06066	1.06068	3763	0	5
2020.11.13	14:00:00	1.06066	1.06121	1.06037	1.06038	3287	0	5
2020.11.13	15:00:00	1.06038	1.06079	1.05935	1.06017	3504	0	5
2020.11.13	16:00:00	1.06017	1.06145	1.06000	1.06107	2706	0	5
2020.11.13	17:00:00	1.06105	1.06198	1.06094	1.06184	1204	0	5
2020.11.13	18:00:00	1.06181	1.06219	1.06137	1.06171	887	0	5
2020.11.13	19:00:00	1.06169	1.06212	1.06152	1.06200	1217	0	5
2020.11.13	20:00:00	1.06198	1.06228	1.06179	1.06184	1461	0	5
2020.11.13	21:00:00	1.06184	1.06195	1.06122	1.06152	576	0	5
2020.11.15	22:00:00	1.06093	1.06144	1.06041	1.06086	361	0	49
2020.11.15	23:00:00	1.06088	1.06228	1.06046	1.06105	2561	0	6
2020.11.16	00:00:00	1.06103	1.06128	1.06008	1.06021	1577	0	5
2020.11.16	01:00:00	1.06021	1.06055	1.05874	1.05917	1609	0	5
2020.11.16	02:00:00	1.05917	1.05975	1.05906	1.05927	814	0	5
2020.11.16	03:00:00	1.05927	1.05953	1.05902	1.05938	1102	0	5
2020.11.16	04:00:00	1.05938	1.06029	1.05938	1.06011	1031	0	5
2020.11.16	05:00:00	1.06011	1.06042	1.05973	1.06010	844	0	5
2020.11.16	06:00:00	1.06012	1.06026	1.05963	1.06019	942	0	5
2020.11.16	07:00:00	1.06023	1.06032	1.05972	1.06022	2032	0	5
