<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	0.70234	0.70243	0.70155	0.70177	378	0	6
2020.11.01	23:00:00	0.70179	0.70245	0.69970	0.70074	2029	0	2
2020.11.02	00:00:00	0.70074	0.70157	0.69997	0.70018	2703	0	2
2020.11.02	01:00:00	0.70018	0.70253	0.69995	0.70209	2400	0	2
2020.11.02	02:00:00	0.70209	0.70236	0.70126	0.70178	1930	0	2
2020.11.02	03:00:00	0.70178	0.70186	0.70129	0.70137	1150	0	2
2020.11.02	04:00:00	0.70137	0.70156	0.69956	0.69998	1458	0	2
2020.11.02	05:00:00	0.69998	0.70111	0.69997	0.70067	1364	0	2
2020.11.02	06:00:00	0.70067	0.70160	0.69909	0.70038	2105	0	2
2020.11.02	07:00:00	0.70040	0.70122	0.70005	0.70094	2651	0	2
2020.11.02	08:00:00	0.70093	0.70120	0.69933	0.70052	3679	0	2
2020.11.02	09:00:00	0.70052	0.70273	0.70044	0.70244	2868	0	2
2020.11.02	10:00:00	0.70242	0.70356	0.70235	0.70340	2692	0	2
2020.11.02	11:00:00	0.70340	0.70461	0.70295	0.70409	2671	0	2
2020.11.02	12:00:00	0.70410	0.70431	0.70366	0.70397	2410	0	2
2020.11.02	13:00:00	0.70397	0.70515	0.70396	0.70490	2870	0	2
2020.11.02	14:00:00	0.70490	0.70497	0.70407	0.70458	3781	0	2
2020.11.02	15:00:00	0.70458	0.70535	0.70367	0.70388	4128	0	2
2020.11.02	16:00:00	0.70388	0.70469	0.70358	0.70438	2462	0	2
2020.11.02	17:00:00	0.70438	0.70457	0.70371	0.70403	1862	0	2
2020.11.02	18:00:00	0.70404	0.70422	0.70358	0.70396	1836	0	2
2020.11.02	19:00:00	0.70396	0.70531	0.70396	0.70490	1573	0	2
2020.11.02	20:00:00	0.70490	0.70575	0.70490	0.70564	1661	0	2
2020.11.02	21:00:00	0.70564	0.70578	0.70528	0.70528	572	0	2
2020.11.02	22:00:00	0.70543	0.70553	0.70459	0.70493	317	0	8
2020.11.02	23:00:00	0.70493	0.70550	0.70492	0.70528	630	0	2
2020.11.03	00:00:00	0.70528	0.70611	0.70527	0.70539	883	0	2
2020.11.03	01:00:00	0.70539	0.70608	0.70439	0.70599	1741	0	2
2020.11.03	02:00:00	0.70599	0.70627	0.70460	0.70528	1451	0	2
2020.11.03	03:00:00	0.70528	0.70631	0.70358	0.70453	1842	0	2
2020.11.03	04:00:00	0.70453	0.70454	0.70279	0.70291	1004	0	2
2020.11.03	05:00:00	0.70291	0.70473	0.70279	0.70438	1420	0	2
2020.11.03	06:00:00	0.70438	0.70525	0.70375	0.70476	1308	0	2
2020.11.03	07:00:00	0.70476	0.70710	0.70461	0.70701	2226	0	2
2020.11.03	08:00:00	0.70699	0.71039	0.70656	0.71031	3289	0	2
2020.11.03	09:00:00	0.71032	0.71326	0.70974	0.71247	2948	0	2
2020.11.03	10:00:00	0.71247	0.71260	0.71129	0.71138	1832	0	2
2020.11.03	11:00:00	0.71138	0.71311	0.71136	0.71296	2082	0	2
2020.11.03	12:00:00	0.71296	0.71388	0.71273	0.71296	2146	0	2
2020.11.03	13:00:00	0.71296	0.71431	0.71245	0.71265	2453	0	2
2020.11.03	14:00:00	0.71267	0.71426	0.71265	0.71286	2842	0	2
2020.11.03	15:00:00	0.71287	0.71698	0.71284	0.71659	3531	0	2
2020.11.03	16:00:00	0.71658	0.71747	0.71580	0.71589	2682	0	2
2020.11.03	17:00:00	0.71589	0.71660	0.71553	0.71594	1722	0	2
2020.11.03	18:00:00	0.71594	0.71607	0.71468	0.71475	1577	0	2
2020.11.03	19:00:00	0.71475	0.71477	0.71384	0.71408	1384	0	2
2020.11.03	20:00:00	0.71408	0.71524	0.71364	0.71465	1919	0	2
2020.11.03	21:00:00	0.71465	0.71696	0.71431	0.71622	1209	0	2
2020.11.03	22:00:00	0.71623	0.71648	0.71511	0.71633	458	0	6
2020.11.03	23:00:00	0.71633	0.72050	0.71633	0.71966	2718	0	2
2020.11.04	00:00:00	0.71966	0.72216	0.71270	0.71297	5731	0	2
2020.11.04	01:00:00	0.71288	0.71665	0.71247	0.71395	6682	0	2
2020.11.04	02:00:00	0.71395	0.71489	0.70483	0.70783	7653	0	2
2020.11.04	03:00:00	0.70783	0.71312	0.70773	0.71072	6149	0	2
2020.11.04	04:00:00	0.71072	0.71288	0.70951	0.71050	4774	0	2
2020.11.04	05:00:00	0.71050	0.71371	0.70972	0.71064	4180	0	2
2020.11.04	06:00:00	0.71059	0.71187	0.70818	0.70953	3400	0	2
2020.11.04	07:00:00	0.70953	0.70996	0.70594	0.70824	5547	0	2
2020.11.04	08:00:00	0.70825	0.70947	0.70641	0.70759	5260	0	2
2020.11.04	09:00:00	0.70758	0.71099	0.70698	0.70978	4130	0	2
2020.11.04	10:00:00	0.70978	0.71233	0.70889	0.71144	3115	0	2
2020.11.04	11:00:00	0.71144	0.71352	0.71078	0.71312	2987	0	2
2020.11.04	12:00:00	0.71313	0.71736	0.71257	0.71670	5016	0	2
2020.11.04	13:00:00	0.71670	0.71725	0.71339	0.71380	4310	0	2
2020.11.04	14:00:00	0.71380	0.71543	0.71242	0.71530	4815	0	2
2020.11.04	15:00:00	0.71530	0.71736	0.71488	0.71593	4401	0	2
2020.11.04	16:00:00	0.71592	0.71987	0.71483	0.71920	4081	0	2
2020.11.04	17:00:00	0.71920	0.71945	0.71756	0.71787	3460	0	2
2020.11.04	18:00:00	0.71788	0.71951	0.71766	0.71880	2399	0	2
2020.11.04	19:00:00	0.71880	0.71905	0.71787	0.71889	2495	0	2
2020.11.04	20:00:00	0.71889	0.71926	0.71697	0.71746	2568	0	2
2020.11.04	21:00:00	0.71745	0.71868	0.71727	0.71786	852	0	2
2020.11.04	22:00:00	0.71729	0.71799	0.71637	0.71674	318	0	6
2020.11.04	23:00:00	0.71674	0.71849	0.71636	0.71803	1409	0	2
2020.11.05	00:00:00	0.71803	0.71893	0.71676	0.71736	2341	0	2
2020.11.05	01:00:00	0.71739	0.71770	0.71596	0.71646	3250	0	2
2020.11.05	02:00:00	0.71647	0.71708	0.71449	0.71687	2886	0	2
2020.11.05	03:00:00	0.71687	0.71790	0.71674	0.71757	2244	0	2
2020.11.05	04:00:00	0.71758	0.71768	0.71626	0.71648	1549	0	2
2020.11.05	05:00:00	0.71648	0.71772	0.71585	0.71692	1906	0	2
2020.11.05	06:00:00	0.71692	0.71744	0.71656	0.71679	1677	0	2
2020.11.05	07:00:00	0.71679	0.71943	0.71652	0.71930	4323	0	2
2020.11.05	08:00:00	0.71927	0.72148	0.71847	0.71960	4756	0	2
2020.11.05	09:00:00	0.71960	0.72187	0.71899	0.72124	3480	0	2
2020.11.05	10:00:00	0.72123	0.72199	0.72041	0.72170	3206	0	2
2020.11.05	11:00:00	0.72172	0.72199	0.72030	0.72147	3516	0	2
2020.11.05	12:00:00	0.72146	0.72467	0.72082	0.72457	3923	0	2
2020.11.05	13:00:00	0.72457	0.72547	0.72303	0.72484	4172	0	2
2020.11.05	14:00:00	0.72484	0.72532	0.72317	0.72499	4142	0	2
2020.11.05	15:00:00	0.72498	0.72754	0.72443	0.72723	5270	0	2
2020.11.05	16:00:00	0.72726	0.72742	0.72596	0.72642	3549	0	2
2020.11.05	17:00:00	0.72641	0.72694	0.72496	0.72657	2515	0	2
2020.11.05	18:00:00	0.72660	0.72771	0.72625	0.72731	1984	0	2
2020.11.05	19:00:00	0.72731	0.72892	0.72707	0.72851	2625	0	2
2020.11.05	20:00:00	0.72851	0.72872	0.72616	0.72813	2659	0	2
2020.11.05	21:00:00	0.72814	0.72893	0.72806	0.72820	965	0	2
2020.11.05	22:00:00	0.72819	0.72833	0.72560	0.72583	455	0	9
2020.11.05	23:00:00	0.72583	0.72697	0.72547	0.72618	2492	0	2
2020.11.06	00:00:00	0.72622	0.72804	0.72520	0.72540	3355	0	2
2020.11.06	01:00:00	0.72540	0.72728	0.72501	0.72677	3646	0	2
2020.11.06	02:00:00	0.72686	0.72696	0.72567	0.72653	3527	0	2
2020.11.06	03:00:00	0.72652	0.72657	0.72505	0.72539	2699	0	2
2020.11.06	04:00:00	0.72538	0.72692	0.72490	0.72606	2053	0	2
2020.11.06	05:00:00	0.72606	0.72701	0.72557	0.72619	2154	0	2
2020.11.06	06:00:00	0.72618	0.72721	0.72595	0.72649	1747	0	2
2020.11.06	07:00:00	0.72650	0.72762	0.72604	0.72762	2522	0	2
2020.11.06	08:00:00	0.72766	0.72808	0.72581	0.72592	3349	0	2
2020.11.06	09:00:00	0.72592	0.72707	0.72460	0.72681	3047	0	2
2020.11.06	10:00:00	0.72685	0.72828	0.72625	0.72778	2662	0	2
2020.11.06	11:00:00	0.72780	0.72875	0.72681	0.72687	2398	0	2
2020.11.06	12:00:00	0.72687	0.72732	0.72454	0.72559	3004	0	2
2020.11.06	13:00:00	0.72555	0.72737	0.72509	0.72719	4050	0	2
2020.11.06	14:00:00	0.72719	0.72791	0.72390	0.72512	5537	0	2
2020.11.06	15:00:00	0.72513	0.72799	0.72487	0.72677	4511	0	2
2020.11.06	16:00:00	0.72677	0.72753	0.72646	0.72668	3585	0	2
2020.11.06	17:00:00	0.72668	0.72740	0.72652	0.72707	2606	0	2
2020.11.06	18:00:00	0.72707	0.72732	0.72668	0.72699	1406	0	2
2020.11.06	19:00:00	0.72699	0.72724	0.72659	0.72669	1056	0	2
2020.11.06	20:00:00	0.72668	0.72668	0.72579	0.72579	1857	0	2
2020.11.06	21:00:00	0.72584	0.72627	0.72567	0.72596	685	0	2
2020.11.08	22:00:00	0.72774	0.72799	0.72725	0.72762	403	0	6
2020.11.08	23:00:00	0.72759	0.72898	0.72714	0.72860	1970	0	2
2020.11.09	00:00:00	0.72861	0.72888	0.72681	0.72706	2191	0	2
2020.11.09	01:00:00	0.72706	0.72871	0.72700	0.72839	2808	0	2
2020.11.09	02:00:00	0.72839	0.72877	0.72791	0.72850	1735	0	2
2020.11.09	03:00:00	0.72850	0.72898	0.72805	0.72889	1529	0	2
2020.11.09	04:00:00	0.72889	0.72980	0.72882	0.72911	1272	0	2
2020.11.09	05:00:00	0.72911	0.73004	0.72901	0.72970	1498	0	2
2020.11.09	06:00:00	0.72968	0.73001	0.72847	0.72910	1966	0	2
2020.11.09	07:00:00	0.72910	0.73000	0.72788	0.72865	2368	0	2
2020.11.09	08:00:00	0.72865	0.72973	0.72723	0.72766	3164	0	2
2020.11.09	09:00:00	0.72766	0.72909	0.72682	0.72691	2666	0	2
2020.11.09	10:00:00	0.72691	0.72813	0.72668	0.72807	1651	0	2
2020.11.09	11:00:00	0.72806	0.73302	0.72676	0.73198	4524	0	2
2020.11.09	12:00:00	0.73194	0.73389	0.72945	0.73363	7993	0	2
2020.11.09	13:00:00	0.73362	0.73400	0.73073	0.73260	5528	0	2
2020.11.09	14:00:00	0.73257	0.73399	0.72945	0.72989	5760	0	2
2020.11.09	15:00:00	0.72987	0.73193	0.72761	0.72969	7172	0	2
2020.11.09	16:00:00	0.72971	0.72972	0.72680	0.72717	5878	0	2
2020.11.09	17:00:00	0.72716	0.72927	0.72716	0.72870	3960	0	2
2020.11.09	18:00:00	0.72869	0.72871	0.72688	0.72743	2634	0	2
2020.11.09	19:00:00	0.72744	0.72947	0.72744	0.72908	2960	0	2
2020.11.09	20:00:00	0.72908	0.72998	0.72774	0.72811	3561	0	2
2020.11.09	21:00:00	0.72815	0.72833	0.72753	0.72824	1409	0	1
2020.11.09	22:00:00	0.72805	0.72836	0.72672	0.72702	302	0	6
2020.11.09	23:00:00	0.72702	0.72857	0.72696	0.72794	1949	0	2
2020.11.10	00:00:00	0.72790	0.72869	0.72676	0.72785	3646	0	2
2020.11.10	01:00:00	0.72783	0.72844	0.72707	0.72749	3096	0	2
2020.11.10	02:00:00	0.72749	0.72887	0.72746	0.72803	2872	0	2
2020.11.10	03:00:00	0.72801	0.72849	0.72725	0.72766	3063	0	2
2020.11.10	04:00:00	0.72767	0.72860	0.72764	0.72812	2106	0	2
2020.11.10	05:00:00	0.72812	0.72882	0.72780	0.72798	2051	0	2
2020.11.10	06:00:00	0.72798	0.72862	0.72754	0.72858	2156	0	2
2020.11.10	07:00:00	0.72858	0.72933	0.72756	0.72759	2843	0	2
2020.11.10	08:00:00	0.72759	0.72894	0.72749	0.72839	4533	0	2
2020.11.10	09:00:00	0.72839	0.72943	0.72826	0.72893	3314	0	2
2020.11.10	10:00:00	0.72897	0.72944	0.72705	0.72705	4169	0	2
2020.11.10	11:00:00	0.72706	0.72878	0.72671	0.72869	3063	0	2
2020.11.10	12:00:00	0.72869	0.72899	0.72742	0.72788	3596	0	2
2020.11.10	13:00:00	0.72787	0.72844	0.72527	0.72650	3761	0	2
2020.11.10	14:00:00	0.72654	0.72778	0.72566	0.72606	5216	0	2
2020.11.10	15:00:00	0.72605	0.72730	0.72553	0.72706	5950	0	2
2020.11.10	16:00:00	0.72705	0.72780	0.72663	0.72725	4113	0	2
2020.11.10	17:00:00	0.72725	0.72866	0.72724	0.72805	3251	0	2
2020.11.10	18:00:00	0.72805	0.72839	0.72690	0.72790	2283	0	2
2020.11.10	19:00:00	0.72790	0.72868	0.72778	0.72818	2706	0	2
2020.11.10	20:00:00	0.72818	0.72828	0.72731	0.72769	2460	0	2
2020.11.10	21:00:00	0.72769	0.72872	0.72763	0.72838	772	0	2
2020.11.10	22:00:00	0.72845	0.72879	0.72812	0.72841	187	0	6
2020.11.10	23:00:00	0.72841	0.72897	0.72794	0.72817	1156	0	2
2020.11.11	00:00:00	0.72816	0.72877	0.72766	0.72769	2256	0	2
2020.11.11	01:00:00	0.72770	0.72948	0.72756	0.72914	3144	0	2
2020.11.11	02:00:00	0.72914	0.73099	0.72844	0.73002	2534	0	2
2020.11.11	03:00:00	0.73004	0.73183	0.72998	0.73131	2830	0	2
2020.11.11	04:00:00	0.73128	0.73142	0.73052	0.73081	1581	0	2
2020.11.11	05:00:00	0.73081	0.73123	0.73041	0.73079	1505	0	2
2020.11.11	06:00:00	0.73079	0.73110	0.72987	0.73044	1433	0	2
2020.11.11	07:00:00	0.73043	0.73147	0.72926	0.72927	2325	0	2
2020.11.11	08:00:00	0.72925	0.72986	0.72846	0.72958	3454	0	2
2020.11.11	09:00:00	0.72958	0.73049	0.72902	0.72988	3124	0	2
2020.11.11	10:00:00	0.72988	0.73031	0.72906	0.72936	1971	0	2
2020.11.11	11:00:00	0.72935	0.72991	0.72791	0.72795	1849	0	2
2020.11.11	12:00:00	0.72792	0.72797	0.72639	0.72724	2921	0	2
2020.11.11	13:00:00	0.72724	0.72812	0.72707	0.72802	2941	0	2
2020.11.11	14:00:00	0.72801	0.72803	0.72676	0.72678	3102	0	2
2020.11.11	15:00:00	0.72677	0.72738	0.72601	0.72644	3294	0	2
2020.11.11	16:00:00	0.72643	0.72684	0.72619	0.72678	1857	0	2
2020.11.11	17:00:00	0.72678	0.72762	0.72672	0.72751	1523	0	2
2020.11.11	18:00:00	0.72751	0.72806	0.72738	0.72776	1318	0	2
2020.11.11	19:00:00	0.72778	0.72810	0.72719	0.72751	1360	0	2
2020.11.11	20:00:00	0.72750	0.72800	0.72727	0.72791	1314	0	2
2020.11.11	21:00:00	0.72789	0.72837	0.72777	0.72800	539	0	2
2020.11.11	22:00:00	0.72801	0.72801	0.72757	0.72767	182	0	6
2020.11.11	23:00:00	0.72767	0.72843	0.72748	0.72837	833	0	2
2020.11.12	00:00:00	0.72838	0.72859	0.72762	0.72831	1814	0	2
2020.11.12	01:00:00	0.72831	0.72941	0.72799	0.72852	2204	0	2
2020.11.12	02:00:00	0.72852	0.72876	0.72780	0.72849	1748	0	2
2020.11.12	03:00:00	0.72848	0.72864	0.72748	0.72750	1821	0	2
2020.11.12	04:00:00	0.72750	0.72773	0.72677	0.72688	1273	0	2
2020.11.12	05:00:00	0.72689	0.72788	0.72678	0.72710	1524	0	2
2020.11.12	06:00:00	0.72710	0.72732	0.72538	0.72584	1903	0	2
2020.11.12	07:00:00	0.72584	0.72655	0.72467	0.72541	1988	0	2
2020.11.12	08:00:00	0.72541	0.72658	0.72517	0.72621	2679	0	2
2020.11.12	09:00:00	0.72622	0.72753	0.72517	0.72738	2440	0	2
2020.11.12	10:00:00	0.72738	0.72823	0.72671	0.72682	1630	0	2
2020.11.12	11:00:00	0.72682	0.72786	0.72618	0.72619	1382	0	2
2020.11.12	12:00:00	0.72621	0.72661	0.72483	0.72505	2356	0	2
2020.11.12	13:00:00	0.72506	0.72708	0.72482	0.72702	2844	0	2
2020.11.12	14:00:00	0.72704	0.72734	0.72517	0.72572	3648	0	2
2020.11.12	15:00:00	0.72572	0.72686	0.72564	0.72636	3256	0	2
2020.11.12	16:00:00	0.72637	0.72711	0.72611	0.72667	2488	0	2
2020.11.12	17:00:00	0.72666	0.72667	0.72366	0.72445	2428	0	2
2020.11.12	18:00:00	0.72445	0.72447	0.72311	0.72437	2532	0	2
2020.11.12	19:00:00	0.72437	0.72456	0.72311	0.72367	2327	0	2
2020.11.12	20:00:00	0.72368	0.72372	0.72236	0.72303	2926	0	2
2020.11.12	21:00:00	0.72303	0.72336	0.72290	0.72304	870	0	2
2020.11.12	22:00:00	0.72304	0.72332	0.72268	0.72288	248	0	6
2020.11.12	23:00:00	0.72287	0.72418	0.72283	0.72398	1202	0	2
2020.11.13	00:00:00	0.72400	0.72419	0.72286	0.72297	1812	0	2
2020.11.13	01:00:00	0.72297	0.72404	0.72247	0.72270	2082	0	2
2020.11.13	02:00:00	0.72269	0.72312	0.72216	0.72289	1655	0	2
2020.11.13	03:00:00	0.72290	0.72302	0.72229	0.72238	1046	0	2
2020.11.13	04:00:00	0.72239	0.72337	0.72224	0.72291	1062	0	2
2020.11.13	05:00:00	0.72291	0.72349	0.72278	0.72319	984	0	2
2020.11.13	06:00:00	0.72319	0.72389	0.72280	0.72380	1169	0	2
2020.11.13	07:00:00	0.72380	0.72449	0.72296	0.72445	1543	0	2
2020.11.13	08:00:00	0.72443	0.72472	0.72313	0.72367	2267	0	2
