<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	1.65790	1.65951	1.65716	1.65875	599	0	33
2020.11.01	23:00:00	1.65875	1.66331	1.65747	1.66120	2656	0	3
2020.11.02	00:00:00	1.66121	1.66312	1.65920	1.66261	3252	0	3
2020.11.02	01:00:00	1.66258	1.66299	1.65755	1.65811	3336	0	3
2020.11.02	02:00:00	1.65811	1.65975	1.65762	1.65912	2424	0	3
2020.11.02	03:00:00	1.65914	1.65985	1.65872	1.65966	1670	0	3
2020.11.02	04:00:00	1.65966	1.66278	1.65892	1.66155	2335	0	3
2020.11.02	05:00:00	1.66154	1.66171	1.65939	1.66077	1988	0	3
2020.11.02	06:00:00	1.66080	1.66408	1.65881	1.66233	2903	0	3
2020.11.02	07:00:00	1.66234	1.66267	1.65916	1.65918	4315	0	3
2020.11.02	08:00:00	1.65919	1.66253	1.65861	1.66060	6861	0	3
2020.11.02	09:00:00	1.66061	1.66088	1.65653	1.65714	5775	0	3
2020.11.02	10:00:00	1.65716	1.65776	1.65500	1.65590	5220	0	3
2020.11.02	11:00:00	1.65591	1.65661	1.65395	1.65474	4689	0	3
2020.11.02	12:00:00	1.65474	1.65566	1.65363	1.65428	4765	0	3
2020.11.02	13:00:00	1.65429	1.65434	1.65087	1.65087	5468	0	3
2020.11.02	14:00:00	1.65090	1.65192	1.65023	1.65090	6175	0	3
2020.11.02	15:00:00	1.65090	1.65331	1.64949	1.65311	6937	0	3
2020.11.02	16:00:00	1.65312	1.65355	1.65114	1.65154	4843	0	3
2020.11.02	17:00:00	1.65155	1.65270	1.65072	1.65156	3912	0	3
2020.11.02	18:00:00	1.65156	1.65251	1.65057	1.65127	3348	0	3
2020.11.02	19:00:00	1.65127	1.65128	1.64914	1.64999	3165	0	3
2020.11.02	20:00:00	1.64998	1.65003	1.64867	1.64922	3309	0	3
2020.11.02	21:00:00	1.64920	1.65018	1.64893	1.64951	1316	0	3
2020.11.02	22:00:00	1.64930	1.65126	1.64740	1.65087	502	0	40
2020.11.02	23:00:00	1.65094	1.65108	1.64973	1.65039	1024	0	3
2020.11.03	00:00:00	1.65039	1.65057	1.64906	1.65041	1526	0	3
2020.11.03	01:00:00	1.65041	1.65325	1.65005	1.65013	2532	0	3
2020.11.03	02:00:00	1.65013	1.65315	1.64966	1.65191	2010	0	3
2020.11.03	03:00:00	1.65191	1.65578	1.64978	1.65373	2387	0	3
2020.11.03	04:00:00	1.65369	1.65753	1.65369	1.65730	1335	0	3
