<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	1.06722	1.06749	1.06722	1.06733	190	0	58
2020.11.01	23:00:00	1.06733	1.06784	1.06730	1.06781	746	0	2
2020.11.02	00:00:00	1.06780	1.06796	1.06752	1.06790	808	0	2
2020.11.02	01:00:00	1.06789	1.06792	1.06761	1.06768	912	0	2
2020.11.02	02:00:00	1.06766	1.06784	1.06750	1.06758	798	0	2
2020.11.02	03:00:00	1.06757	1.06767	1.06742	1.06764	351	0	2
2020.11.02	04:00:00	1.06764	1.06779	1.06735	1.06744	510	0	2
2020.11.02	05:00:00	1.06743	1.06764	1.06739	1.06751	580	0	2
2020.11.02	06:00:00	1.06751	1.06759	1.06727	1.06759	665	0	2
2020.11.02	07:00:00	1.06760	1.06789	1.06718	1.06753	1472	0	2
2020.11.02	08:00:00	1.06752	1.06816	1.06727	1.06807	2625	0	2
2020.11.02	09:00:00	1.06808	1.06855	1.06755	1.06782	1840	0	2
2020.11.02	10:00:00	1.06783	1.06892	1.06770	1.06864	1756	0	2
2020.11.02	11:00:00	1.06864	1.06950	1.06861	1.06890	1375	0	2
2020.11.02	12:00:00	1.06892	1.06969	1.06887	1.06951	1372	0	2
2020.11.02	13:00:00	1.06950	1.07005	1.06924	1.06934	1333	0	2
2020.11.02	14:00:00	1.06935	1.06984	1.06928	1.06953	1600	0	0
2020.11.02	15:00:00	1.06953	1.07022	1.06942	1.06992	2060	0	2
2020.11.02	16:00:00	1.06993	1.07056	1.06974	1.07030	1384	0	2
2020.11.02	17:00:00	1.07032	1.07056	1.07005	1.07008	937	0	2
2020.11.02	18:00:00	1.07009	1.07017	1.06970	1.06972	759	0	2
2020.11.02	19:00:00	1.06974	1.07022	1.06955	1.07017	652	0	2
2020.11.02	20:00:00	1.07019	1.07019	1.06962	1.06992	694	0	2
2020.11.02	21:00:00	1.06990	1.07013	1.06915	1.06915	351	0	2
2020.11.02	22:00:00	1.06901	1.06935	1.06827	1.06921	273	0	31
2020.11.02	23:00:00	1.06922	1.06978	1.06915	1.06961	327	0	2
2020.11.03	00:00:00	1.06960	1.07013	1.06948	1.07003	694	0	2
2020.11.03	01:00:00	1.07003	1.07038	1.06998	1.07024	574	0	2
2020.11.03	02:00:00	1.07024	1.07043	1.07011	1.07023	507	0	2
2020.11.03	03:00:00	1.07023	1.07050	1.07003	1.07007	706	0	2
2020.11.03	04:00:00	1.07007	1.07043	1.07007	1.07029	455	0	2
2020.11.03	05:00:00	1.07030	1.07042	1.06999	1.07008	518	0	2
2020.11.03	06:00:00	1.07008	1.07060	1.06998	1.07032	456	0	2
2020.11.03	07:00:00	1.07032	1.07108	1.07021	1.07108	1326	0	2
2020.11.03	08:00:00	1.07108	1.07188	1.07096	1.07118	1660	0	2
2020.11.03	09:00:00	1.07118	1.07142	1.07079	1.07090	1721	0	2
2020.11.03	10:00:00	1.07090	1.07158	1.07072	1.07143	1191	0	2
2020.11.03	11:00:00	1.07144	1.07167	1.07090	1.07093	1435	0	2
2020.11.03	12:00:00	1.07095	1.07110	1.07058	1.07061	1308	0	2
2020.11.03	13:00:00	1.07062	1.07150	1.07046	1.07141	1222	0	2
