<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	0.90091	0.90124	0.89993	0.90012	317	0	6
2020.11.01	23:00:00	0.90012	0.90115	0.89984	0.90063	1603	0	2
2020.11.02	00:00:00	0.90062	0.90127	0.90042	0.90121	1505	0	2
2020.11.02	01:00:00	0.90121	0.90125	0.90042	0.90049	1292	0	2
2020.11.02	02:00:00	0.90049	0.90055	0.89995	0.90004	1208	0	2
2020.11.02	03:00:00	0.90009	0.90055	0.89996	0.90049	783	0	2
2020.11.02	04:00:00	0.90049	0.90180	0.90044	0.90132	1284	0	2
2020.11.02	05:00:00	0.90132	0.90193	0.90119	0.90192	806	0	2
2020.11.02	06:00:00	0.90192	0.90242	0.90168	0.90214	1371	0	2
2020.11.02	07:00:00	0.90216	0.90236	0.90095	0.90096	2432	0	2
2020.11.02	08:00:00	0.90096	0.90471	0.90078	0.90455	4545	0	2
2020.11.02	09:00:00	0.90454	0.90488	0.90134	0.90161	3985	0	2
2020.11.02	10:00:00	0.90161	0.90272	0.90071	0.90142	3562	0	2
2020.11.02	11:00:00	0.90143	0.90288	0.90121	0.90250	2969	0	1
2020.11.02	12:00:00	0.90248	0.90255	0.90032	0.90101	2835	0	2
2020.11.02	13:00:00	0.90098	0.90123	0.89959	0.89963	2869	0	2
2020.11.02	14:00:00	0.89963	0.90141	0.89952	0.90094	3286	0	2
2020.11.02	15:00:00	0.90093	0.90194	0.90066	0.90131	3492	0	2
2020.11.02	16:00:00	0.90133	0.90248	0.90131	0.90155	2600	0	2
2020.11.02	17:00:00	0.90155	0.90211	0.90098	0.90101	1928	0	2
2020.11.02	18:00:00	0.90101	0.90188	0.90098	0.90139	1547	0	2
2020.11.02	19:00:00	0.90139	0.90171	0.90121	0.90161	1555	0	2
2020.11.02	20:00:00	0.90161	0.90164	0.90096	0.90097	1861	0	2
2020.11.02	21:00:00	0.90098	0.90121	0.90090	0.90098	710	0	2
2020.11.02	22:00:00	0.90106	0.90131	0.90061	0.90124	412	0	19
2020.11.02	23:00:00	0.90124	0.90144	0.90073	0.90083	549	0	2
2020.11.03	00:00:00	0.90083	0.90110	0.90072	0.90080	800	0	2
2020.11.03	01:00:00	0.90080	0.90145	0.90073	0.90118	1071	0	2
2020.11.03	02:00:00	0.90118	0.90120	0.90062	0.90085	948	0	2
2020.11.03	03:00:00	0.90085	0.90185	0.90072	0.90147	1019	0	2
2020.11.03	04:00:00	0.90147	0.90203	0.90147	0.90196	706	0	2
2020.11.03	05:00:00	0.90195	0.90208	0.90173	0.90182	813	0	2
2020.11.03	06:00:00	0.90181	0.90224	0.90139	0.90178	904	0	2
2020.11.03	07:00:00	0.90179	0.90202	0.90118	0.90171	2180	0	2
2020.11.03	08:00:00	0.90171	0.90186	0.90010	0.90038	3210	0	2
2020.11.03	09:00:00	0.90038	0.90158	0.89985	0.90032	3378	0	2
2020.11.03	10:00:00	0.90032	0.90088	0.90000	0.90073	2245	0	2
2020.11.03	11:00:00	0.90073	0.90248	0.89976	0.90097	2911	0	2
2020.11.03	12:00:00	0.90099	0.90184	0.90021	0.90089	2615	0	2
2020.11.03	13:00:00	0.90089	0.90091	0.89998	0.90008	2575	0	2
2020.11.03	14:00:00	0.90008	0.90106	0.89927	0.89927	2861	0	2
2020.11.03	15:00:00	0.89925	0.89939	0.89748	0.89756	3978	0	2
2020.11.03	16:00:00	0.89756	0.89879	0.89684	0.89848	3005	0	2
2020.11.03	17:00:00	0.89846	0.89910	0.89763	0.89790	1844	0	2
2020.11.03	18:00:00	0.89789	0.89828	0.89716	0.89821	1781	0	2
2020.11.03	19:00:00	0.89823	0.89887	0.89809	0.89871	1794	0	2
2020.11.03	20:00:00	0.89872	0.89913	0.89826	0.89840	1597	0	2
2020.11.03	21:00:00	0.89843	0.89912	0.89667	0.89670	1564	0	2
2020.11.03	22:00:00	0.89693	0.89714	0.89652	0.89676	534	0	26
2020.11.03	23:00:00	0.89676	0.89695	0.89582	0.89651	2497	0	2
2020.11.04	00:00:00	0.89651	0.89898	0.89454	0.89830	5677	0	2
2020.11.04	01:00:00	0.89830	0.89893	0.89662	0.89679	6151	0	2
2020.11.04	02:00:00	0.89679	0.89826	0.89551	0.89586	7273	0	2
2020.11.04	03:00:00	0.89587	0.89780	0.89474	0.89588	5053	0	2
2020.11.04	04:00:00	0.89588	0.89782	0.89555	0.89710	4411	0	2
2020.11.04	05:00:00	0.89710	0.89794	0.89692	0.89752	3131	0	2
2020.11.04	06:00:00	0.89752	0.89791	0.89632	0.89644	2690	0	2
2020.11.04	07:00:00	0.89645	0.90078	0.89613	0.90058	5052	0	2
2020.11.04	08:00:00	0.90053	0.90323	0.90021	0.90267	5504	0	2
2020.11.04	09:00:00	0.90267	0.90295	0.89953	0.90003	4584	0	2
2020.11.04	10:00:00	0.90003	0.90099	0.89895	0.89954	3395	0	2
2020.11.04	11:00:00	0.89953	0.90047	0.89899	0.89912	3398	0	2
2020.11.04	12:00:00	0.89911	0.90009	0.89837	0.89865	4958	0	2
2020.11.04	13:00:00	0.89865	0.90270	0.89861	0.90236	4434	0	2
2020.11.04	14:00:00	0.90236	0.90304	0.90109	0.90140	4872	0	2
2020.11.04	15:00:00	0.90135	0.90166	0.89992	0.90130	4540	0	2
2020.11.04	16:00:00	0.90131	0.90258	0.90088	0.90091	4754	0	2
2020.11.04	17:00:00	0.90091	0.90277	0.90066	0.90136	3696	0	2
2020.11.04	18:00:00	0.90136	0.90194	0.90097	0.90179	2729	0	2
2020.11.04	19:00:00	0.90179	0.90261	0.90161	0.90219	2156	0	2
2020.11.04	20:00:00	0.90219	0.90278	0.90146	0.90211	2818	0	2
2020.11.04	21:00:00	0.90210	0.90338	0.90204	0.90269	1493	0	2
2020.11.04	22:00:00	0.90272	0.90647	0.90204	0.90558	840	0	6
2020.11.04	23:00:00	0.90585	0.90606	0.90474	0.90482	1495	0	2
2020.11.05	00:00:00	0.90482	0.90534	0.90424	0.90503	1410	0	2
2020.11.05	01:00:00	0.90503	0.90531	0.90467	0.90473	2152	0	2
2020.11.05	02:00:00	0.90473	0.90483	0.90395	0.90448	1761	0	2
2020.11.05	03:00:00	0.90448	0.90561	0.90444	0.90559	1720	0	2
