<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	121.802	121.876	121.776	121.828	2379	0	22
2020.11.01	23:00:00	121.826	121.898	121.704	121.750	2414	0	2
2020.11.02	00:00:00	121.752	121.971	121.752	121.946	3655	0	2
2020.11.02	01:00:00	121.946	121.947	121.872	121.904	3642	0	2
2020.11.02	02:00:00	121.904	121.926	121.797	121.874	2366	0	2
2020.11.02	03:00:00	121.874	121.880	121.823	121.854	1260	0	2
2020.11.02	04:00:00	121.854	121.877	121.794	121.806	1947	0	2
2020.11.02	05:00:00	121.805	121.880	121.804	121.842	1837	0	2
2020.11.02	06:00:00	121.841	121.961	121.830	121.961	2188	0	2
2020.11.02	07:00:00	121.965	121.994	121.862	121.943	3318	0	2
2020.11.02	08:00:00	121.945	122.073	121.888	122.052	4670	0	2
2020.11.02	09:00:00	122.052	122.154	121.986	122.000	4074	0	2
2020.11.02	10:00:00	121.999	122.046	121.890	121.968	3301	0	2
2020.11.02	11:00:00	121.968	122.065	121.939	122.031	3370	0	2
2020.11.02	12:00:00	122.032	122.038	121.865	121.903	3026	0	2
2020.11.02	13:00:00	121.903	121.937	121.792	121.798	3351	0	2
2020.11.02	14:00:00	121.797	121.916	121.732	121.890	4260	0	2
2020.11.02	15:00:00	121.893	122.017	121.876	121.945	4907	0	2
2020.11.02	16:00:00	121.945	121.993	121.893	121.930	3142	0	2
2020.11.02	17:00:00	121.930	121.979	121.879	121.921	2572	0	2
2020.11.02	18:00:00	121.921	121.945	121.850	121.880	2040	0	2
2020.11.02	19:00:00	121.880	121.959	121.862	121.935	1886	0	2
2020.11.02	20:00:00	121.935	121.989	121.915	121.973	1982	0	2
2020.11.02	21:00:00	121.973	122.003	121.831	121.831	1042	0	2
2020.11.02	22:00:00	121.831	121.944	121.737	121.922	723	0	29
2020.11.02	23:00:00	121.923	121.946	121.902	121.903	770	0	2
2020.11.03	00:00:00	121.903	122.015	121.880	121.992	1559	0	2
2020.11.03	01:00:00	121.992	122.048	121.952	122.022	2076	0	2
2020.11.03	02:00:00	122.021	122.027	121.954	122.005	1945	0	2
2020.11.03	03:00:00	122.005	122.023	121.960	122.017	1453	0	2
2020.11.03	04:00:00	122.017	122.044	122.007	122.020	1046	0	2
2020.11.03	05:00:00	122.020	122.092	122.014	122.046	1575	0	2
2020.11.03	06:00:00	122.046	122.136	121.998	122.001	2292	0	2
2020.11.03	07:00:00	122.003	122.057	121.811	122.043	3959	0	2
2020.11.03	08:00:00	122.043	122.243	122.000	122.211	4319	0	2
