<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	1.18385	1.18576	1.18259	1.18534	315	0	94
2020.11.01	23:00:00	1.18534	1.18642	1.18492	1.18552	1417	0	2
2020.11.02	00:00:00	1.18555	1.18596	1.18478	1.18493	2240	0	2
2020.11.02	01:00:00	1.18496	1.18582	1.18481	1.18558	2227	0	2
2020.11.02	02:00:00	1.18558	1.18645	1.18556	1.18605	1450	0	2
2020.11.02	03:00:00	1.18603	1.18621	1.18540	1.18558	774	0	2
2020.11.02	04:00:00	1.18557	1.18558	1.18364	1.18425	1510	0	2
2020.11.02	05:00:00	1.18423	1.18454	1.18358	1.18361	1207	0	2
2020.11.02	06:00:00	1.18359	1.18376	1.18276	1.18338	2022	0	2
2020.11.02	07:00:00	1.18338	1.18485	1.18297	1.18485	4311	0	2
2020.11.02	08:00:00	1.18486	1.18509	1.18049	1.18079	7569	0	2
2020.11.02	09:00:00	1.18080	1.18463	1.18030	1.18430	6706	0	2
2020.11.02	10:00:00	1.18431	1.18626	1.18294	1.18550	5961	0	2
2020.11.02	11:00:00	1.18550	1.18621	1.18390	1.18435	5055	0	2
2020.11.02	12:00:00	1.18434	1.18792	1.18428	1.18696	4489	0	2
2020.11.02	13:00:00	1.18697	1.18868	1.18667	1.18858	4927	0	2
2020.11.02	14:00:00	1.18858	1.18893	1.18639	1.18707	5466	0	2
2020.11.02	15:00:00	1.18705	1.18753	1.18576	1.18702	5549	0	2
2020.11.02	16:00:00	1.18701	1.18748	1.18579	1.18714	3853	0	2
2020.11.02	17:00:00	1.18713	1.18794	1.18657	1.18764	2445	0	2
2020.11.02	18:00:00	1.18763	1.18766	1.18627	1.18671	1897	0	2
2020.11.02	19:00:00	1.18671	1.18705	1.18622	1.18694	2136	0	2
2020.11.02	20:00:00	1.18693	1.18761	1.18653	1.18744	2073	0	2
2020.11.02	21:00:00	1.18743	1.18785	1.18621	1.18621	984	0	2
2020.11.02	22:00:00	1.18621	1.18642	1.18516	1.18610	1641	0	53
2020.11.02	23:00:00	1.18607	1.18751	1.18601	1.18733	643	0	2
2020.11.03	00:00:00	1.18729	1.18798	1.18711	1.18784	1344	0	2
2020.11.03	01:00:00	1.18785	1.18809	1.18719	1.18756	1686	0	2
2020.11.03	02:00:00	1.18756	1.18851	1.18748	1.18799	1192	0	2
2020.11.03	03:00:00	1.18801	1.18818	1.18653	1.18699	1838	0	2
2020.11.03	04:00:00	1.18699	1.18701	1.18652	1.18656	853	0	2
2020.11.03	05:00:00	1.18657	1.18685	1.18635	1.18652	1426	0	2
2020.11.03	06:00:00	1.18652	1.18707	1.18646	1.18684	1234	0	2
2020.11.03	07:00:00	1.18682	1.18785	1.18646	1.18783	3836	0	2
2020.11.03	08:00:00	1.18784	1.19005	1.18754	1.18969	5634	0	2
2020.11.03	09:00:00	1.18969	1.19049	1.18784	1.18941	5044	0	2
2020.11.03	10:00:00	1.18940	1.19049	1.18911	1.18947	3388	0	2
2020.11.03	11:00:00	1.18948	1.19056	1.18665	1.18860	4079	0	2
2020.11.03	12:00:00	1.18858	1.18950	1.18745	1.18840	4878	0	2
2020.11.03	13:00:00	1.18840	1.19057	1.18836	1.19031	4256	0	2
2020.11.03	14:00:00	1.19032	1.19123	1.18885	1.19090	5237	0	2
2020.11.03	15:00:00	1.19091	1.19282	1.19073	1.19238	7180	0	2
2020.11.03	16:00:00	1.19237	1.19288	1.19052	1.19085	5746	0	2
2020.11.03	17:00:00	1.19086	1.19160	1.18978	1.19038	3472	0	2
2020.11.03	18:00:00	1.19039	1.19119	1.18916	1.18926	3042	0	2
2020.11.03	19:00:00	1.18925	1.18962	1.18853	1.18854	2105	0	2
2020.11.03	20:00:00	1.18856	1.18925	1.18803	1.18904	2865	0	2
2020.11.03	21:00:00	1.18904	1.19184	1.18869	1.19103	2057	0	2
2020.11.03	22:00:00	1.19101	1.19264	1.19101	1.19229	224	0	49
2020.11.03	23:00:00	1.19227	1.19597	1.19209	1.19470	3269	0	2
2020.11.04	00:00:00	1.19471	1.19597	1.18896	1.18959	9214	0	2
2020.11.04	01:00:00	1.18958	1.19204	1.18868	1.19143	10782	0	2
2020.11.04	02:00:00	1.19142	1.19264	1.18808	1.19038	13270	0	2
2020.11.04	03:00:00	1.19040	1.19204	1.18926	1.19043	10768	0	2
