<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	135.117	135.328	135.099	135.315	1450	0	46
2020.11.01	23:00:00	135.315	135.434	135.138	135.174	2109	0	3
2020.11.02	00:00:00	135.181	135.367	135.180	135.308	3194	0	3
2020.11.02	01:00:00	135.308	135.414	135.258	135.365	2744	0	3
2020.11.02	02:00:00	135.365	135.415	135.287	135.398	1798	0	3
2020.11.02	03:00:00	135.398	135.398	135.289	135.317	1273	0	3
2020.11.02	04:00:00	135.316	135.317	135.118	135.133	1901	0	4
2020.11.02	05:00:00	135.133	135.228	135.088	135.089	1825	0	3
2020.11.02	06:00:00	135.089	135.181	135.037	135.179	2356	0	3
2020.11.02	07:00:00	135.187	135.344	135.138	135.344	4634	0	3
2020.11.02	08:00:00	135.351	135.367	134.870	134.929	6763	0	3
2020.11.02	09:00:00	134.927	135.347	134.874	135.308	5767	0	3
2020.11.02	10:00:00	135.308	135.438	135.184	135.301	5173	0	3
2020.11.02	11:00:00	135.301	135.354	135.155	135.209	4593	0	1
2020.11.02	12:00:00	135.213	135.392	135.198	135.293	4390	0	3
2020.11.02	13:00:00	135.292	135.426	135.286	135.382	4688	0	3
2020.11.02	14:00:00	135.382	135.394	135.174	135.285	5623	0	3
2020.11.02	15:00:00	135.286	135.386	135.182	135.291	6191	0	3
2020.11.02	16:00:00	135.290	135.301	135.137	135.241	4002	0	3
2020.11.02	17:00:00	135.241	135.327	135.181	135.311	3503	0	3
2020.11.02	18:00:00	135.311	135.315	135.138	135.204	2617	0	3
2020.11.02	19:00:00	135.204	135.295	135.169	135.236	2508	0	3
2020.11.02	20:00:00	135.235	135.374	135.231	135.371	2046	0	3
2020.11.02	21:00:00	135.368	135.397	135.258	135.261	1303	0	3
2020.11.02	22:00:00	135.247	135.307	135.159	135.259	1858	0	47
2020.11.02	23:00:00	135.259	135.353	135.251	135.322	943	0	4
2020.11.03	00:00:00	135.320	135.438	135.297	135.422	1375	0	3
2020.11.03	01:00:00	135.422	135.431	135.310	135.401	1864	0	3
2020.11.03	02:00:00	135.400	135.449	135.350	135.433	1749	0	3
2020.11.03	03:00:00	135.433	135.437	135.264	135.350	1800	0	3
2020.11.03	04:00:00	135.350	135.351	135.272	135.278	1084	0	4
2020.11.03	05:00:00	135.280	135.359	135.275	135.328	1261	0	3
2020.11.03	06:00:00	135.329	135.408	135.278	135.287	1718	0	3
2020.11.03	07:00:00	135.286	135.350	135.159	135.343	4406	0	3
2020.11.03	08:00:00	135.344	135.769	135.305	135.731	5326	0	3
2020.11.03	09:00:00	135.732	136.072	135.672	136.028	5190	0	3
2020.11.03	10:00:00	136.027	136.075	135.908	135.959	3722	0	3
2020.11.03	11:00:00	135.959	136.229	135.894	136.112	5140	0	3
2020.11.03	12:00:00	136.112	136.160	135.912	135.935	4934	0	3
2020.11.03	13:00:00	135.935	136.241	135.935	136.087	6083	0	3
2020.11.03	14:00:00	136.088	136.342	136.013	136.316	5869	0	3
2020.11.03	15:00:00	136.316	136.674	136.286	136.642	7462	0	3
2020.11.03	16:00:00	136.642	136.695	136.340	136.362	6558	0	3
2020.11.03	17:00:00	136.362	136.481	136.249	136.269	3441	0	3
2020.11.03	18:00:00	136.270	136.413	136.215	136.222	3701	0	3
2020.11.03	19:00:00	136.221	136.278	136.186	136.232	2706	0	3
2020.11.03	20:00:00	136.232	136.261	136.092	136.216	3112	0	3
2020.11.03	21:00:00	136.217	136.596	136.164	136.380	3049	0	3
2020.11.03	22:00:00	136.388	136.723	136.363	136.717	1707	0	33
2020.11.03	23:00:00	136.717	137.381	136.682	137.151	4441	0	3
2020.11.04	00:00:00	137.153	137.329	136.156	136.193	8100	0	3
2020.11.04	01:00:00	136.192	136.610	136.102	136.284	8211	0	3
2020.11.04	02:00:00	136.284	136.594	136.005	136.432	9184	0	3
2020.11.04	03:00:00	136.431	136.758	136.429	136.500	7805	0	3
2020.11.04	04:00:00	136.500	136.628	136.153	136.177	6277	0	3
2020.11.04	05:00:00	136.178	136.381	136.112	136.323	5527	0	3
2020.11.04	06:00:00	136.322	136.378	136.158	136.282	5008	0	3
2020.11.04	07:00:00	136.281	136.349	135.538	135.803	7830	0	3
2020.11.04	08:00:00	135.804	135.916	135.590	135.643	7798	0	3
2020.11.04	09:00:00	135.644	136.165	135.566	136.059	6807	0	3
2020.11.04	10:00:00	136.059	136.145	135.768	135.984	6170	0	3
2020.11.04	11:00:00	135.985	136.087	135.836	136.031	6055	0	3
2020.11.04	12:00:00	136.032	136.161	135.885	136.109	8468	0	3
2020.11.04	13:00:00	136.109	136.116	135.511	135.585	7451	0	3
2020.11.04	14:00:00	135.583	135.689	135.371	135.594	7005	0	3
2020.11.04	15:00:00	135.591	135.831	135.519	135.731	6989	0	3
2020.11.04	16:00:00	135.731	135.920	135.505	135.918	6372	0	3
2020.11.04	17:00:00	135.918	135.976	135.761	135.910	5059	0	3
2020.11.04	18:00:00	135.910	135.960	135.711	135.723	4335	0	3
2020.11.04	19:00:00	135.723	135.770	135.616	135.740	3251	0	3
2020.11.04	20:00:00	135.746	135.835	135.679	135.738	3601	0	3
2020.11.04	21:00:00	135.738	135.816	135.593	135.734	1986	0	3
2020.11.04	22:00:00	135.734	135.790	135.103	135.227	2246	0	20
2020.11.04	23:00:00	135.227	135.434	135.163	135.413	1709	0	3
2020.11.05	00:00:00	135.413	135.413	135.081	135.135	3556	0	3
2020.11.05	01:00:00	135.135	135.202	135.083	135.141	3781	0	3
2020.11.05	02:00:00	135.141	135.291	135.084	135.241	3016	0	3
2020.11.05	03:00:00	135.241	135.262	135.116	135.126	2861	0	3
2020.11.05	04:00:00	135.126	135.221	135.112	135.141	1910	0	3
2020.11.05	05:00:00	135.141	135.339	135.101	135.242	2743	0	3
2020.11.05	06:00:00	135.242	135.281	135.076	135.130	2628	0	3
2020.11.05	07:00:00	135.129	135.976	135.077	135.836	6859	0	3
2020.11.05	08:00:00	135.830	135.961	135.683	135.735	7261	0	3
2020.11.05	09:00:00	135.735	136.043	135.593	136.018	6881	0	3
2020.11.05	10:00:00	136.018	136.101	135.885	136.095	6341	0	3
2020.11.05	11:00:00	136.093	136.303	135.987	136.109	5666	0	3
2020.11.05	12:00:00	136.111	136.203	135.761	135.827	6899	0	3
2020.11.05	13:00:00	135.826	135.866	135.534	135.676	7749	0	3
2020.11.05	14:00:00	135.677	135.866	135.571	135.676	7091	0	3
2020.11.05	15:00:00	135.677	135.952	135.626	135.899	7577	0	3
2020.11.05	16:00:00	135.900	136.065	135.717	135.974	5877	0	3
2020.11.05	17:00:00	135.974	135.996	135.732	135.873	4385	0	3
2020.11.05	18:00:00	135.874	135.934	135.776	135.890	4097	0	3
2020.11.05	19:00:00	135.885	136.075	135.846	136.033	4716	0	3
2020.11.05	20:00:00	136.039	136.133	135.914	136.116	4146	0	3
2020.11.05	21:00:00	136.114	136.180	135.922	136.003	2589	0	3
2020.11.05	22:00:00	135.993	136.217	135.965	136.161	896	0	23
2020.11.05	23:00:00	136.166	136.241	136.089	136.127	3036	0	3
2020.11.06	00:00:00	136.125	136.196	136.002	136.028	4160	0	3
2020.11.06	01:00:00	136.028	136.090	135.926	136.024	4741	0	3
2020.11.06	02:00:00	136.032	136.081	135.936	136.008	3896	0	3
2020.11.06	03:00:00	136.008	136.024	135.685	135.740	3989	0	3
2020.11.06	04:00:00	135.740	135.863	135.725	135.758	2832	0	3
2020.11.06	05:00:00	135.759	135.927	135.759	135.873	2785	0	3
2020.11.06	06:00:00	135.869	135.987	135.859	135.918	3289	0	3
2020.11.06	07:00:00	135.916	136.005	135.705	136.003	5145	0	3
2020.11.06	08:00:00	136.004	136.121	135.837	135.841	6581	0	3
2020.11.06	09:00:00	135.841	135.860	135.661	135.858	6551	0	3
2020.11.06	10:00:00	135.855	135.862	135.662	135.725	6464	0	3
2020.11.06	11:00:00	135.731	135.792	135.468	135.572	5891	0	3
2020.11.06	12:00:00	135.572	135.681	135.471	135.584	6581	0	3
2020.11.06	13:00:00	135.583	135.849	135.540	135.777	7120	0	3
2020.11.06	14:00:00	135.779	135.904	135.670	135.802	9070	0	3
2020.11.06	15:00:00	135.805	135.948	135.661	135.757	7114	0	3
2020.11.06	16:00:00	135.808	136.131	135.737	135.995	5870	0	3
2020.11.06	17:00:00	135.991	136.042	135.772	135.866	3909	0	3
2020.11.06	18:00:00	135.866	135.934	135.819	135.833	2397	0	3
2020.11.06	19:00:00	135.828	135.881	135.779	135.849	2026	0	3
2020.11.06	20:00:00	135.844	135.997	135.821	135.869	2415	0	3
2020.11.06	21:00:00	135.869	135.931	135.731	135.908	1289	0	3
2020.11.08	22:00:00	135.957	135.990	135.729	135.932	3261	0	39
2020.11.08	23:00:00	135.931	136.161	135.894	136.086	3220	0	3
2020.11.09	00:00:00	136.086	136.164	136.030	136.140	3824	0	3
2020.11.09	01:00:00	136.140	136.278	136.116	136.206	3978	0	3
2020.11.09	02:00:00	136.204	136.305	136.179	136.275	2817	0	3
2020.11.09	03:00:00	136.275	136.288	136.208	136.274	2188	0	3
2020.11.09	04:00:00	136.274	136.377	136.234	136.361	2361	0	3
2020.11.09	05:00:00	136.361	136.516	136.298	136.450	2437	0	3
2020.11.09	06:00:00	136.450	136.474	136.316	136.472	2705	0	3
2020.11.09	07:00:00	136.471	136.613	136.358	136.373	5055	0	3
2020.11.09	08:00:00	136.374	136.486	136.085	136.192	6687	0	3
2020.11.09	09:00:00	136.193	136.296	136.034	136.172	6160	0	1
2020.11.09	10:00:00	136.173	136.344	136.137	136.302	4217	0	1
2020.11.09	11:00:00	136.302	137.273	136.219	137.232	7252	0	3
2020.11.09	12:00:00	137.229	138.237	137.041	138.237	12083	0	3
2020.11.09	13:00:00	138.237	138.412	138.113	138.230	9765	0	3
2020.11.09	14:00:00	138.229	138.751	138.150	138.612	9292	0	3
2020.11.09	15:00:00	138.615	138.695	138.337	138.596	10369	0	3
2020.11.09	16:00:00	138.602	138.795	138.433	138.685	8613	0	3
2020.11.09	17:00:00	138.687	138.759	138.517	138.585	6493	0	3
2020.11.09	18:00:00	138.585	138.643	138.440	138.639	4767	0	3
2020.11.09	19:00:00	138.639	138.841	138.584	138.830	4104	0	3
2020.11.09	20:00:00	138.829	138.912	138.609	138.659	4798	0	3
2020.11.09	21:00:00	138.659	138.736	138.594	138.690	2290	0	3
2020.11.09	22:00:00	138.690	138.690	138.485	138.501	1640	0	22
2020.11.09	23:00:00	138.506	138.612	138.381	138.452	3027	0	3
2020.11.10	00:00:00	138.450	138.713	138.337	138.429	5313	0	3
2020.11.10	01:00:00	138.434	138.530	138.284	138.333	4681	0	3
2020.11.10	02:00:00	138.332	138.435	138.261	138.281	4501	0	3
2020.11.10	03:00:00	138.281	138.397	138.165	138.364	4010	0	3
2020.11.10	04:00:00	138.364	138.503	138.340	138.426	3572	0	3
2020.11.10	05:00:00	138.426	138.453	138.317	138.388	2934	0	3
2020.11.10	06:00:00	138.386	138.636	138.352	138.586	3494	0	3
