<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	1.29250	1.29368	1.29185	1.29326	264	0	5
2020.11.01	23:00:00	1.29325	1.29392	1.29208	1.29258	1590	0	0
2020.11.02	00:00:00	1.29261	1.29332	1.29162	1.29178	2274	0	0
2020.11.02	01:00:00	1.29179	1.29320	1.29160	1.29279	3287	0	0
2020.11.02	02:00:00	1.29279	1.29399	1.29277	1.29370	1647	0	0
2020.11.02	03:00:00	1.29369	1.29369	1.29254	1.29270	919	0	0
2020.11.02	04:00:00	1.29270	1.29270	1.28996	1.29045	1535	0	0
2020.11.02	05:00:00	1.29042	1.29105	1.29026	1.29029	1358	0	0
2020.11.02	06:00:00	1.29029	1.29074	1.28941	1.29061	2089	0	0
2020.11.02	07:00:00	1.29062	1.29160	1.29002	1.29085	4142	0	0
2020.11.02	08:00:00	1.29086	1.29123	1.28538	1.28611	7694	0	0
2020.11.02	09:00:00	1.28610	1.29147	1.28562	1.29105	5879	0	0
2020.11.02	10:00:00	1.29107	1.29296	1.28997	1.29216	5372	0	0
2020.11.02	11:00:00	1.29216	1.29247	1.29049	1.29100	4902	0	0
2020.11.02	12:00:00	1.29100	1.29368	1.29097	1.29255	3982	0	0
2020.11.02	13:00:00	1.29256	1.29427	1.29244	1.29356	4617	0	0
2020.11.02	14:00:00	1.29354	1.29356	1.29062	1.29106	4613	0	0
2020.11.02	15:00:00	1.29106	1.29177	1.28923	1.29100	4529	0	0
2020.11.02	16:00:00	1.29099	1.29107	1.28901	1.29039	2789	0	0
2020.11.02	17:00:00	1.29038	1.29069	1.28940	1.29052	2322	0	0
2020.11.02	18:00:00	1.29052	1.29052	1.28907	1.28960	1550	0	0
2020.11.02	19:00:00	1.28961	1.29067	1.28930	1.29001	1312	0	0
2020.11.02	20:00:00	1.29002	1.29177	1.29001	1.29167	1522	0	0
2020.11.02	21:00:00	1.29167	1.29199	1.29151	1.29171	877	0	0
2020.11.02	22:00:00	1.29167	1.29167	1.29027	1.29126	1965	0	0
2020.11.02	23:00:00	1.29122	1.29239	1.29116	1.29221	731	0	0
2020.11.03	00:00:00	1.29221	1.29251	1.29189	1.29242	892	0	0
2020.11.03	01:00:00	1.29246	1.29288	1.29181	1.29277	1692	0	0
2020.11.03	02:00:00	1.29277	1.29373	1.29268	1.29338	1087	0	0
2020.11.03	03:00:00	1.29339	1.29342	1.29184	1.29248	1701	0	0
2020.11.03	04:00:00	1.29248	1.29253	1.29149	1.29158	855	0	0
2020.11.03	05:00:00	1.29157	1.29265	1.29156	1.29237	884	0	0
2020.11.03	06:00:00	1.29239	1.29337	1.29232	1.29304	1286	0	0
2020.11.03	07:00:00	1.29305	1.29441	1.29278	1.29439	3508	0	0
2020.11.03	08:00:00	1.29437	1.29803	1.29391	1.29766	5350	0	0
2020.11.03	09:00:00	1.29766	1.29968	1.29657	1.29916	4855	0	0
2020.11.03	10:00:00	1.29918	1.29958	1.29821	1.29865	2987	0	0
2020.11.03	11:00:00	1.29866	1.30052	1.29714	1.29934	3733	0	0
2020.11.03	12:00:00	1.29932	1.30015	1.29815	1.29868	4295	0	0
2020.11.03	13:00:00	1.29868	1.30121	1.29868	1.30041	3836	0	0
2020.11.03	14:00:00	1.30041	1.30237	1.30021	1.30233	3925	0	0
2020.11.03	15:00:00	1.30232	1.30713	1.30224	1.30682	6131	0	0
2020.11.03	16:00:00	1.30683	1.30790	1.30419	1.30486	4863	0	0
2020.11.03	17:00:00	1.30484	1.30598	1.30394	1.30412	2850	0	0
2020.11.03	18:00:00	1.30413	1.30491	1.30248	1.30253	2096	0	0
2020.11.03	19:00:00	1.30254	1.30302	1.30188	1.30241	1898	0	0
2020.11.03	20:00:00	1.30245	1.30273	1.30114	1.30260	2608	0	0
2020.11.03	21:00:00	1.30260	1.30683	1.30209	1.30537	1908	0	0
2020.11.03	22:00:00	1.30547	1.30744	1.30516	1.30715	349	0	3
2020.11.03	23:00:00	1.30725	1.31314	1.30718	1.31196	4296	0	0
2020.11.04	00:00:00	1.31196	1.31410	1.30119	1.30126	10195	0	0
2020.11.04	01:00:00	1.30128	1.30559	1.29990	1.30286	13498	0	0
2020.11.04	02:00:00	1.30286	1.30419	1.29338	1.29695	14900	0	0
2020.11.04	03:00:00	1.29694	1.30204	1.29671	1.29965	11939	0	0
2020.11.04	04:00:00	1.29965	1.30088	1.29637	1.29904	10002	0	0
2020.11.04	05:00:00	1.29904	1.30166	1.29809	1.29900	7489	0	0
2020.11.04	06:00:00	1.29899	1.30020	1.29736	1.29895	5325	0	0
2020.11.04	07:00:00	1.29893	1.29960	1.29216	1.29486	9522	0	0
2020.11.04	08:00:00	1.29486	1.29526	1.29146	1.29258	10313	0	0
2020.11.04	09:00:00	1.29257	1.29846	1.29175	1.29726	8846	0	0
2020.11.04	10:00:00	1.29726	1.30084	1.29669	1.29982	6191	0	0
2020.11.04	11:00:00	1.29985	1.30243	1.29872	1.30208	6198	0	0
2020.11.04	12:00:00	1.30207	1.30507	1.30125	1.30407	9172	0	0
2020.11.04	13:00:00	1.30406	1.30448	1.29709	1.29775	9443	0	0
2020.11.04	14:00:00	1.29775	1.29949	1.29503	1.29903	8507	0	0
2020.11.04	15:00:00	1.29907	1.30185	1.29835	1.29907	8531	0	0
2020.11.04	16:00:00	1.29906	1.30233	1.29679	1.30199	7591	0	0
2020.11.04	17:00:00	1.30199	1.30202	1.29800	1.29971	5736	0	0
2020.11.04	18:00:00	1.29974	1.30066	1.29912	1.29953	3655	0	0
2020.11.04	19:00:00	1.29951	1.29982	1.29791	1.29958	3213	0	0
2020.11.04	20:00:00	1.29958	1.30066	1.29813	1.29868	3943	0	0
2020.11.04	21:00:00	1.29868	1.29982	1.29700	1.29876	3198	0	0
2020.11.04	22:00:00	1.29876	1.29923	1.29323	1.29380	1462	0	0
2020.11.04	23:00:00	1.29380	1.29672	1.29347	1.29661	1825	0	0
2020.11.05	00:00:00	1.29661	1.29811	1.29581	1.29605	2624	0	0
2020.11.05	01:00:00	1.29606	1.29647	1.29476	1.29558	3626	0	0
2020.11.05	02:00:00	1.29557	1.29744	1.29452	1.29718	2983	0	0
2020.11.05	03:00:00	1.29718	1.29721	1.29572	1.29585	2403	0	0
2020.11.05	04:00:00	1.29585	1.29657	1.29555	1.29579	1930	0	0
2020.11.05	05:00:00	1.29578	1.29738	1.29544	1.29671	1613	0	0
2020.11.05	06:00:00	1.29671	1.29691	1.29389	1.29450	2304	0	0
2020.11.05	07:00:00	1.29451	1.30413	1.29403	1.30216	10555	0	0
2020.11.05	08:00:00	1.30215	1.30355	1.30009	1.30146	10438	0	0
2020.11.05	09:00:00	1.30144	1.30509	1.30054	1.30480	7961	0	0
2020.11.05	10:00:00	1.30479	1.30748	1.30315	1.30726	6810	0	0
2020.11.05	11:00:00	1.30726	1.30752	1.30555	1.30702	6165	0	0
2020.11.05	12:00:00	1.30700	1.30957	1.30546	1.30837	7729	0	0
2020.11.05	13:00:00	1.30837	1.31098	1.30696	1.30877	8588	0	0
2020.11.05	14:00:00	1.30877	1.30977	1.30706	1.30876	7428	0	0
2020.11.05	15:00:00	1.30879	1.31127	1.30666	1.31113	9139	0	0
2020.11.05	16:00:00	1.31113	1.31353	1.30927	1.31155	6264	0	0
2020.11.05	17:00:00	1.31156	1.31166	1.30796	1.31005	4167	0	0
2020.11.05	18:00:00	1.31007	1.31112	1.30896	1.31083	3476	0	0
2020.11.05	19:00:00	1.31077	1.31464	1.31012	1.31426	5021	0	0
2020.11.05	20:00:00	1.31427	1.31493	1.31230	1.31451	4513	0	0
2020.11.05	21:00:00	1.31452	1.31551	1.31399	1.31457	2325	0	0
2020.11.05	22:00:00	1.31444	1.31561	1.31386	1.31402	915	0	0
2020.11.05	23:00:00	1.31403	1.31509	1.31303	1.31385	2963	0	0
2020.11.06	00:00:00	1.31386	1.31572	1.31178	1.31193	3212	0	0
2020.11.06	01:00:00	1.31193	1.31324	1.31124	1.31286	3961	0	0
2020.11.06	02:00:00	1.31287	1.31379	1.31190	1.31365	3475	0	0
2020.11.06	03:00:00	1.31363	1.31439	1.31256	1.31290	2669	0	0
2020.11.06	04:00:00	1.31290	1.31344	1.31202	1.31256	1593	0	0
2020.11.06	05:00:00	1.31256	1.31365	1.31209	1.31233	2071	0	0
2020.11.06	06:00:00	1.31233	1.31345	1.31198	1.31287	1997	0	0
2020.11.06	07:00:00	1.31287	1.31508	1.31130	1.31505	5330	0	0
2020.11.06	08:00:00	1.31506	1.31544	1.31259	1.31263	7599	0	0
2020.11.06	09:00:00	1.31262	1.31420	1.31009	1.31418	6751	0	0
2020.11.06	10:00:00	1.31417	1.31500	1.31194	1.31484	5992	0	0
2020.11.06	11:00:00	1.31486	1.31565	1.31196	1.31313	6183	0	0
2020.11.06	12:00:00	1.31313	1.31473	1.31080	1.31195	7783	0	0
2020.11.06	13:00:00	1.31194	1.31501	1.31131	1.31476	8699	0	0
2020.11.06	14:00:00	1.31481	1.31511	1.30927	1.31121	11643	0	0
2020.11.06	15:00:00	1.31121	1.31557	1.31107	1.31431	8718	0	0
2020.11.06	16:00:00	1.31472	1.31773	1.31375	1.31620	7813	0	0
2020.11.06	17:00:00	1.31621	1.31712	1.31445	1.31545	3709	0	0
2020.11.06	18:00:00	1.31545	1.31617	1.31504	1.31560	1924	0	0
2020.11.06	19:00:00	1.31561	1.31610	1.31507	1.31602	1467	0	0
2020.11.06	20:00:00	1.31599	1.31683	1.31477	1.31528	1857	0	0
2020.11.06	21:00:00	1.31526	1.31585	1.31380	1.31484	1426	0	0
2020.11.08	22:00:00	1.31574	1.31651	1.31455	1.31614	4147	0	11
2020.11.08	23:00:00	1.31620	1.31824	1.31598	1.31801	2505	0	0
2020.11.09	00:00:00	1.31801	1.31803	1.31676	1.31744	2199	0	0
2020.11.09	01:00:00	1.31745	1.31932	1.31736	1.31816	4288	0	0
2020.11.09	02:00:00	1.31817	1.31863	1.31790	1.31810	1545	0	0
2020.11.09	03:00:00	1.31810	1.31847	1.31771	1.31840	1225	0	0
2020.11.09	04:00:00	1.31840	1.31881	1.31776	1.31798	1864	0	0
2020.11.09	05:00:00	1.31797	1.31913	1.31745	1.31786	2397	0	0
2020.11.09	06:00:00	1.31787	1.31850	1.31663	1.31841	2425	0	0
2020.11.09	07:00:00	1.31839	1.31992	1.31756	1.31767	5099	0	0
2020.11.09	08:00:00	1.31766	1.31903	1.31395	1.31515	6843	0	0
2020.11.09	09:00:00	1.31517	1.31624	1.31238	1.31283	5939	0	0
2020.11.09	10:00:00	1.31284	1.31499	1.31253	1.31469	3594	0	0
2020.11.09	11:00:00	1.31469	1.31861	1.31202	1.31694	10149	0	0
2020.11.09	12:00:00	1.31694	1.31903	1.31369	1.31704	17958	0	0
2020.11.09	13:00:00	1.31703	1.31895	1.31664	1.31819	11536	0	0
2020.11.09	14:00:00	1.31818	1.32081	1.31592	1.31599	10601	0	0
