<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	0.66083	0.66099	0.66017	0.66017	248	0	11
2020.11.01	23:00:00	0.66017	0.66070	0.65918	0.65971	1373	0	3
2020.11.02	00:00:00	0.65971	0.66002	0.65904	0.65938	1422	0	3
2020.11.02	01:00:00	0.65938	0.66103	0.65915	0.66062	1749	0	3
2020.11.02	02:00:00	0.66061	0.66100	0.66004	0.66039	1129	0	3
2020.11.02	03:00:00	0.66039	0.66090	0.66039	0.66062	909	0	3
2020.11.02	04:00:00	0.66062	0.66063	0.65930	0.65951	1268	0	3
2020.11.02	05:00:00	0.65952	0.66047	0.65949	0.66023	1130	0	3
2020.11.02	06:00:00	0.66023	0.66063	0.65935	0.66034	1642	0	3
2020.11.02	07:00:00	0.66034	0.66087	0.65983	0.66020	2406	0	3
2020.11.02	08:00:00	0.66020	0.66031	0.65889	0.65984	2845	0	3
2020.11.02	09:00:00	0.65985	0.66163	0.65980	0.66145	2054	0	3
2020.11.02	10:00:00	0.66142	0.66248	0.66129	0.66217	1590	0	3
2020.11.02	11:00:00	0.66217	0.66311	0.66164	0.66267	1624	0	3
2020.11.02	12:00:00	0.66267	0.66297	0.66246	0.66267	1323	0	3
2020.11.02	13:00:00	0.66267	0.66345	0.66267	0.66322	1781	0	3
2020.11.02	14:00:00	0.66322	0.66322	0.66232	0.66250	2257	0	3
2020.11.02	15:00:00	0.66250	0.66317	0.66161	0.66169	2959	0	3
2020.11.02	16:00:00	0.66170	0.66280	0.66135	0.66256	2041	0	3
2020.11.02	17:00:00	0.66255	0.66260	0.66185	0.66198	2013	0	3
2020.11.02	18:00:00	0.66198	0.66198	0.66132	0.66177	1030	0	4
2020.11.02	19:00:00	0.66177	0.66298	0.66175	0.66285	976	0	3
2020.11.02	20:00:00	0.66285	0.66343	0.66279	0.66334	1003	0	3
2020.11.02	21:00:00	0.66335	0.66353	0.66265	0.66287	475	0	3
2020.11.02	22:00:00	0.66049	0.66330	0.66049	0.66308	370	0	9
2020.11.02	23:00:00	0.66308	0.66341	0.66300	0.66310	529	0	3
2020.11.03	00:00:00	0.66310	0.66335	0.66274	0.66310	962	0	3
2020.11.03	01:00:00	0.66310	0.66461	0.66254	0.66460	1273	0	3
2020.11.03	02:00:00	0.66460	0.66468	0.66363	0.66398	1260	0	3
2020.11.03	03:00:00	0.66398	0.66444	0.66317	0.66341	1477	0	3
2020.11.03	04:00:00	0.66341	0.66341	0.66225	0.66229	753	0	3
