<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	1.33118	1.33175	1.33085	1.33142	197	0	26
2020.11.01	23:00:00	1.33139	1.33704	1.33139	1.33688	5174	0	0
2020.11.02	00:00:00	1.33688	1.33701	1.33499	1.33555	3161	0	0
2020.11.02	01:00:00	1.33555	1.33598	1.33286	1.33325	4899	0	0
2020.11.02	02:00:00	1.33325	1.33400	1.33270	1.33322	3348	0	0
2020.11.02	03:00:00	1.33322	1.33368	1.33305	1.33368	1549	0	0
2020.11.02	04:00:00	1.33368	1.33486	1.33348	1.33456	2206	0	0
2020.11.02	05:00:00	1.33456	1.33460	1.33339	1.33374	1893	0	0
2020.11.02	06:00:00	1.33374	1.33425	1.33290	1.33381	2725	0	0
2020.11.02	07:00:00	1.33381	1.33423	1.33253	1.33283	3413	0	0
2020.11.02	08:00:00	1.33283	1.33453	1.33215	1.33322	6141	0	0
2020.11.02	09:00:00	1.33322	1.33331	1.33085	1.33138	3233	0	0
2020.11.02	10:00:00	1.33138	1.33146	1.33012	1.33030	2655	0	0
2020.11.02	11:00:00	1.33030	1.33072	1.32883	1.32886	3106	0	0
2020.11.02	12:00:00	1.32886	1.32996	1.32865	1.32995	2997	0	0
2020.11.02	13:00:00	1.32995	1.32996	1.32575	1.32676	4012	0	0
2020.11.02	14:00:00	1.32676	1.32795	1.32667	1.32713	5021	0	0
2020.11.02	15:00:00	1.32713	1.32792	1.32520	1.32771	6295	0	0
2020.11.02	16:00:00	1.32771	1.32771	1.32445	1.32557	3611	0	0
2020.11.02	17:00:00	1.32557	1.32598	1.32483	1.32513	3336	0	0
2020.11.02	18:00:00	1.32513	1.32625	1.32508	1.32562	2546	0	0
2020.11.02	19:00:00	1.32562	1.32577	1.32269	1.32299	3191	0	0
2020.11.02	20:00:00	1.32299	1.32367	1.32258	1.32294	3551	0	0
2020.11.02	21:00:00	1.32294	1.32345	1.32140	1.32163	1629	0	0
2020.11.02	22:00:00	1.32174	1.32263	1.32125	1.32250	159	0	0
2020.11.02	23:00:00	1.32250	1.32260	1.32174	1.32208	2194	0	0
2020.11.03	00:00:00	1.32208	1.32236	1.32154	1.32177	1652	0	0
2020.11.03	01:00:00	1.32177	1.32254	1.32114	1.32123	2461	0	1
2020.11.03	02:00:00	1.32123	1.32201	1.32069	1.32173	1603	0	0
2020.11.03	03:00:00	1.32173	1.32297	1.32143	1.32249	2388	0	0
2020.11.03	04:00:00	1.32249	1.32342	1.32248	1.32334	1174	0	1
2020.11.03	05:00:00	1.32334	1.32334	1.32217	1.32278	1349	0	1
2020.11.03	06:00:00	1.32278	1.32328	1.32246	1.32294	1347	0	0
2020.11.03	07:00:00	1.32294	1.32307	1.32169	1.32171	3135	0	0
2020.11.03	08:00:00	1.32171	1.32193	1.31689	1.31691	4924	0	0
2020.11.03	09:00:00	1.31691	1.31725	1.31374	1.31418	4122	0	0
2020.11.03	10:00:00	1.31418	1.31662	1.31413	1.31660	2476	0	0
2020.11.03	11:00:00	1.31660	1.31664	1.31556	1.31570	2728	0	0
2020.11.03	12:00:00	1.31570	1.31615	1.31519	1.31552	2317	0	0
2020.11.03	13:00:00	1.31552	1.31571	1.31389	1.31475	3725	0	0
2020.11.03	14:00:00	1.31474	1.31474	1.31245	1.31262	3983	0	0
2020.11.03	15:00:00	1.31264	1.31266	1.31040	1.31070	4942	0	0
2020.11.03	16:00:00	1.31069	1.31344	1.31067	1.31336	4437	0	0
2020.11.03	17:00:00	1.31336	1.31586	1.31317	1.31576	2941	0	0
2020.11.03	18:00:00	1.31576	1.31748	1.31545	1.31747	3200	0	0
2020.11.03	19:00:00	1.31747	1.31753	1.31653	1.31713	2798	0	0
2020.11.03	20:00:00	1.31713	1.31731	1.31459	1.31513	4210	0	0
2020.11.03	21:00:00	1.31513	1.31559	1.31222	1.31374	2664	0	0
2020.11.03	22:00:00	1.31291	1.31458	1.31250	1.31305	681	0	11
2020.11.03	23:00:00	1.31331	1.31337	1.30998	1.31033	3042	0	0
2020.11.04	00:00:00	1.31033	1.31898	1.30956	1.31876	12664	0	0
2020.11.04	01:00:00	1.31875	1.31899	1.31398	1.31820	14959	0	0
2020.11.04	02:00:00	1.31820	1.32778	1.31711	1.32506	18985	0	0
2020.11.04	03:00:00	1.32506	1.32520	1.32069	1.32355	14359	0	0
2020.11.04	04:00:00	1.32356	1.32461	1.32150	1.32374	9251	0	0
2020.11.04	05:00:00	1.32374	1.32444	1.32155	1.32347	8062	0	0
2020.11.04	06:00:00	1.32347	1.32560	1.32241	1.32450	5699	0	0
2020.11.04	07:00:00	1.32450	1.32994	1.32414	1.32780	12236	0	0
2020.11.04	08:00:00	1.32779	1.32848	1.32370	1.32535	9388	0	0
