<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	0.91586	0.91669	0.91446	0.91651	276	0	36
2020.11.01	23:00:00	0.91651	0.91731	0.91648	0.91721	908	0	0
2020.11.02	00:00:00	0.91721	0.91746	0.91697	0.91730	1239	0	0
2020.11.02	01:00:00	0.91730	0.91740	0.91676	0.91708	649	0	0
2020.11.02	02:00:00	0.91708	0.91724	0.91662	0.91682	907	0	0
2020.11.02	03:00:00	0.91682	0.91719	0.91678	0.91716	344	0	0
2020.11.02	04:00:00	0.91716	0.91782	0.91716	0.91772	718	0	0
2020.11.02	05:00:00	0.91772	0.91773	0.91719	0.91732	991	0	0
2020.11.02	06:00:00	0.91732	0.91748	0.91688	0.91694	1784	0	0
2020.11.02	07:00:00	0.91694	0.91808	0.91676	0.91791	2609	0	0
2020.11.02	08:00:00	0.91790	0.91885	0.91729	0.91810	4113	0	0
2020.11.02	09:00:00	0.91810	0.91817	0.91702	0.91733	3385	0	0
2020.11.02	10:00:00	0.91734	0.91824	0.91686	0.91748	2518	0	0
2020.11.02	11:00:00	0.91748	0.91794	0.91712	0.91742	2021	0	0
2020.11.02	12:00:00	0.91742	0.91868	0.91727	0.91834	1757	0	0
2020.11.02	13:00:00	0.91833	0.91939	0.91770	0.91887	2248	0	0
2020.11.02	14:00:00	0.91887	0.91977	0.91884	0.91947	2782	0	0
2020.11.02	15:00:00	0.91947	0.92037	0.91915	0.91948	3075	0	0
2020.11.02	16:00:00	0.91948	0.92061	0.91926	0.92001	2144	0	0
2020.11.02	17:00:00	0.92002	0.92078	0.91998	0.92029	1305	0	0
2020.11.02	18:00:00	0.92029	0.92055	0.92014	0.92022	1005	0	0
2020.11.02	19:00:00	0.92022	0.92029	0.91951	0.92012	1271	0	0
2020.11.02	20:00:00	0.92012	0.92012	0.91921	0.91932	1250	0	0
2020.11.02	21:00:00	0.91932	0.91948	0.91842	0.91842	705	0	0
2020.11.02	22:00:00	0.91842	0.91906	0.91834	0.91853	174	0	13
2020.11.02	23:00:00	0.91853	0.91903	0.91853	0.91886	358	0	1
2020.11.03	00:00:00	0.91886	0.91919	0.91859	0.91908	1069	0	0
2020.11.03	01:00:00	0.91908	0.91918	0.91857	0.91863	866	0	0
2020.11.03	02:00:00	0.91863	0.91892	0.91850	0.91853	1081	0	0
2020.11.03	03:00:00	0.91853	0.91883	0.91827	0.91839	1362	0	0
2020.11.03	04:00:00	0.91839	0.91874	0.91829	0.91873	486	0	0
2020.11.03	05:00:00	0.91873	0.91873	0.91802	0.91812	1044	0	1
2020.11.03	06:00:00	0.91812	0.91830	0.91762	0.91789	926	0	0
2020.11.03	07:00:00	0.91789	0.91824	0.91750	0.91769	2217	0	0
2020.11.03	08:00:00	0.91769	0.91805	0.91669	0.91680	2786	0	0
2020.11.03	09:00:00	0.91680	0.91705	0.91546	0.91552	2785	0	0
2020.11.03	10:00:00	0.91552	0.91623	0.91549	0.91595	1635	0	0
2020.11.03	11:00:00	0.91594	0.91601	0.91435	0.91481	2305	0	0
2020.11.03	12:00:00	0.91480	0.91512	0.91439	0.91510	1743	0	0
2020.11.03	13:00:00	0.91510	0.91540	0.91416	0.91537	1948	0	0
2020.11.03	14:00:00	0.91537	0.91538	0.91395	0.91444	2623	0	0
2020.11.03	15:00:00	0.91444	0.91446	0.91194	0.91242	2848	0	0
2020.11.03	16:00:00	0.91242	0.91291	0.91183	0.91266	1812	0	0
2020.11.03	17:00:00	0.91266	0.91305	0.91209	0.91283	1290	0	0
2020.11.03	18:00:00	0.91283	0.91306	0.91260	0.91304	1074	0	0
2020.11.03	19:00:00	0.91304	0.91333	0.91252	0.91257	1046	0	0
2020.11.03	20:00:00	0.91258	0.91332	0.91258	0.91283	859	0	0
2020.11.03	21:00:00	0.91283	0.91294	0.91173	0.91214	924	0	0
2020.11.03	22:00:00	0.91214	0.91243	0.91189	0.91202	155	0	24
2020.11.03	23:00:00	0.91200	0.91212	0.91062	0.91067	2249	0	0
2020.11.04	00:00:00	0.91066	0.91425	0.90892	0.91417	8450	0	0
2020.11.04	01:00:00	0.91417	0.91520	0.91239	0.91452	9166	0	0
2020.11.04	02:00:00	0.91452	0.91964	0.91395	0.91785	12547	0	0
2020.11.04	03:00:00	0.91785	0.91804	0.91514	0.91595	13064	0	0
2020.11.04	04:00:00	0.91595	0.91679	0.91387	0.91559	5248	0	0
2020.11.04	05:00:00	0.91559	0.91602	0.91358	0.91536	4092	0	0
2020.11.04	06:00:00	0.91536	0.91633	0.91457	0.91564	3430	0	0
2020.11.04	07:00:00	0.91564	0.91728	0.91540	0.91545	5389	0	0
2020.11.04	08:00:00	0.91545	0.91600	0.91321	0.91476	6912	0	0
2020.11.04	09:00:00	0.91476	0.91622	0.91446	0.91556	3830	0	0
2020.11.04	10:00:00	0.91556	0.91565	0.91322	0.91352	4209	0	0
2020.11.04	11:00:00	0.91352	0.91380	0.91207	0.91224	3305	0	0
2020.11.04	12:00:00	0.91224	0.91279	0.91033	0.91041	6163	0	0
2020.11.04	13:00:00	0.91041	0.91191	0.91014	0.91166	4910	0	0
2020.11.04	14:00:00	0.91166	0.91369	0.91121	0.91251	4918	0	0
2020.11.04	15:00:00	0.91251	0.91295	0.91170	0.91189	5805	0	0
2020.11.04	16:00:00	0.91190	0.91223	0.91045	0.91078	5261	0	0
2020.11.04	17:00:00	0.91078	0.91292	0.91077	0.91261	3257	0	0
2020.11.04	18:00:00	0.91261	0.91294	0.91233	0.91249	2215	0	0
2020.11.04	19:00:00	0.91249	0.91316	0.91226	0.91233	1130	0	0
2020.11.04	20:00:00	0.91233	0.91256	0.91179	0.91248	2033	0	0
2020.11.04	21:00:00	0.91248	0.91248	0.91074	0.91074	928	0	0
2020.11.04	22:00:00	0.91074	0.91321	0.91037	0.91262	2103	0	0
2020.11.04	23:00:00	0.91262	0.91329	0.91131	0.91166	918	0	0
2020.11.05	00:00:00	0.91166	0.91190	0.91087	0.91142	974	0	0
2020.11.05	01:00:00	0.91141	0.91208	0.91121	0.91170	1580	0	0
2020.11.05	02:00:00	0.91170	0.91260	0.91134	0.91135	1344	0	0
2020.11.05	03:00:00	0.91135	0.91166	0.91107	0.91122	1653	0	0
2020.11.05	04:00:00	0.91122	0.91131	0.91081	0.91112	1114	0	0
2020.11.05	05:00:00	0.91112	0.91126	0.91079	0.91109	1130	0	0
2020.11.05	06:00:00	0.91109	0.91143	0.91075	0.91140	1594	0	0
2020.11.05	07:00:00	0.91140	0.91178	0.91004	0.91009	4455	0	0
2020.11.05	08:00:00	0.91009	0.91073	0.90891	0.90963	4626	0	0
2020.11.05	09:00:00	0.90963	0.91010	0.90724	0.90776	3849	0	0
2020.11.05	10:00:00	0.90776	0.90833	0.90695	0.90699	3585	0	0
2020.11.05	11:00:00	0.90699	0.90791	0.90684	0.90731	3496	0	0
2020.11.05	12:00:00	0.90733	0.90769	0.90513	0.90513	4672	0	0
2020.11.05	13:00:00	0.90512	0.90597	0.90439	0.90563	4431	0	0
2020.11.05	14:00:00	0.90563	0.90689	0.90560	0.90623	3804	0	0
2020.11.05	15:00:00	0.90623	0.90828	0.90607	0.90618	4098	0	0
2020.11.05	16:00:00	0.90617	0.90673	0.90564	0.90639	3498	0	0
2020.11.05	17:00:00	0.90639	0.90704	0.90602	0.90623	2493	0	0
2020.11.05	18:00:00	0.90623	0.90647	0.90543	0.90571	1793	0	0
2020.11.05	19:00:00	0.90570	0.90597	0.90428	0.90430	2478	0	0
2020.11.05	20:00:00	0.90430	0.90551	0.90413	0.90453	2036	0	0
2020.11.05	21:00:00	0.90453	0.90486	0.90369	0.90402	1281	0	0
2020.11.05	22:00:00	0.90395	0.90485	0.90333	0.90485	131	0	4
2020.11.05	23:00:00	0.90485	0.90495	0.90293	0.90439	2160	0	0
2020.11.06	00:00:00	0.90440	0.90534	0.90356	0.90530	1982	0	0
2020.11.06	01:00:00	0.90530	0.90566	0.90458	0.90472	2602	0	0
2020.11.06	02:00:00	0.90472	0.90499	0.90362	0.90382	1873	0	1
2020.11.06	03:00:00	0.90382	0.90416	0.90321	0.90372	1779	0	0
2020.11.06	04:00:00	0.90372	0.90407	0.90328	0.90361	1387	0	0
2020.11.06	05:00:00	0.90361	0.90398	0.90323	0.90380	1149	0	0
2020.11.06	06:00:00	0.90380	0.90391	0.90297	0.90308	1150	0	0
2020.11.06	07:00:00	0.90308	0.90321	0.90244	0.90267	2510	0	0
2020.11.06	08:00:00	0.90267	0.90354	0.90171	0.90210	3748	0	0
2020.11.06	09:00:00	0.90211	0.90344	0.90137	0.90155	3600	0	0
2020.11.06	10:00:00	0.90155	0.90186	0.90070	0.90124	3379	0	0
2020.11.06	11:00:00	0.90124	0.90124	0.89989	0.90020	3091	0	0
2020.11.06	12:00:00	0.90020	0.90106	0.89946	0.89987	3073	0	0
2020.11.06	13:00:00	0.89987	0.90006	0.89862	0.89870	5670	0	0
2020.11.06	14:00:00	0.89871	0.90235	0.89851	0.90148	7270	0	0
2020.11.06	15:00:00	0.90148	0.90156	0.89881	0.89950	6284	0	0
2020.11.06	16:00:00	0.89949	0.89961	0.89846	0.89878	5070	0	0
2020.11.06	17:00:00	0.89878	0.89959	0.89825	0.89932	2670	0	0
2020.11.06	18:00:00	0.89932	0.89955	0.89904	0.89927	1463	0	0
2020.11.06	19:00:00	0.89927	0.89979	0.89878	0.89955	1064	0	0
2020.11.06	20:00:00	0.89955	0.90001	0.89939	0.89999	1446	0	0
2020.11.06	21:00:00	0.89998	0.90084	0.89989	0.90031	635	0	0
2020.11.08	22:00:00	0.89826	0.90008	0.89826	0.89922	536	0	0
2020.11.08	23:00:00	0.89922	0.89948	0.89875	0.89932	2177	0	0
2020.11.09	00:00:00	0.89932	0.90015	0.89908	0.89992	1208	0	0
2020.11.09	01:00:00	0.89992	0.90020	0.89935	0.89982	2060	0	0
2020.11.09	02:00:00	0.89982	0.89987	0.89952	0.89971	787	0	0
2020.11.09	03:00:00	0.89971	0.89988	0.89952	0.89955	648	0	1
2020.11.09	04:00:00	0.89955	0.89966	0.89931	0.89965	941	0	0
2020.11.09	05:00:00	0.89965	0.89982	0.89920	0.89978	1651	0	1
2020.11.09	06:00:00	0.89978	0.89978	0.89889	0.89889	1535	0	0
2020.11.09	07:00:00	0.89889	0.89952	0.89839	0.89904	3228	0	0
