<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.01	22:00:00	104.548	104.634	104.524	104.631	2344	0	0
2020.11.01	23:00:00	104.631	104.695	104.562	104.581	1833	0	0
2020.11.02	00:00:00	104.581	104.765	104.581	104.748	4261	0	0
2020.11.02	01:00:00	104.748	104.762	104.664	104.710	3122	0	0
2020.11.02	02:00:00	104.709	104.718	104.631	104.664	1599	0	0
2020.11.02	03:00:00	104.664	104.680	104.649	104.680	588	0	0
2020.11.02	04:00:00	104.680	104.757	104.676	104.723	1164	0	0
2020.11.02	05:00:00	104.723	104.747	104.692	104.699	1356	0	0
2020.11.02	06:00:00	104.699	104.776	104.694	104.750	1748	0	0
2020.11.02	07:00:00	104.750	104.861	104.750	104.851	2185	0	0
2020.11.02	08:00:00	104.851	104.949	104.829	104.914	3713	0	0
2020.11.02	09:00:00	104.914	104.921	104.800	104.806	2930	0	0
2020.11.02	10:00:00	104.805	104.815	104.710	104.711	2342	0	0
2020.11.02	11:00:00	104.711	104.743	104.686	104.735	1907	0	0
2020.11.02	12:00:00	104.735	104.735	104.637	104.673	2385	0	0
2020.11.02	13:00:00	104.673	104.693	104.632	104.661	2143	0	0
2020.11.02	14:00:00	104.661	104.803	104.658	104.789	2868	0	0
2020.11.02	15:00:00	104.789	104.871	104.775	104.799	4535	0	0
2020.11.02	16:00:00	104.799	104.847	104.771	104.808	2534	0	0
2020.11.02	17:00:00	104.808	104.868	104.807	104.850	1824	0	0
2020.11.02	18:00:00	104.850	104.871	104.828	104.843	858	0	0
2020.11.02	19:00:00	104.843	104.859	104.818	104.834	865	0	0
2020.11.02	20:00:00	104.834	104.841	104.788	104.804	887	0	0
2020.11.02	21:00:00	104.804	104.824	104.648	104.688	1519	0	0
2020.11.02	22:00:00	104.688	104.754	104.635	104.736	5325	0	6
2020.11.02	23:00:00	104.736	104.759	104.723	104.725	766	0	0
