iter	Accuracy	Logloss	F1
0	0.543875969	0.6924264771	0.5850025391
1	0.5482170543	0.6918059623	0.5839282655
2	0.5520620155	0.6912113294	0.5856233148
3	0.5533023256	0.690765967	0.5904361176
4	0.5582635659	0.690136722	0.5891919949
5	0.559627907	0.6896329014	0.5861164539
6	0.5612403101	0.6889914783	0.5861362972
7	0.5636589147	0.6885784488	0.5851904257
8	0.5633488372	0.6880635603	0.5844301481
9	0.5638449612	0.6878299971	0.5860262523
10	0.5629767442	0.6874892626	0.5855437276
11	0.5629767442	0.6870585974	0.5890243191
12	0.567255814	0.6865524919	0.5944437987
13	0.5662635659	0.6862955693	0.5954887218
14	0.5671317829	0.6858675902	0.5954092279
15	0.5668837209	0.685474753	0.5955993052
16	0.567503876	0.6850987529	0.5971580407
17	0.568496124	0.6848248694	0.6003446295
18	0.568620155	0.6844490291	0.5990778098
19	0.5691782946	0.6841879092	0.6001266333
20	0.5702325581	0.6838292177	0.6015867541
21	0.5691162791	0.6835489897	0.5994465583
22	0.5721550388	0.6830308173	0.6035740964
23	0.5706666667	0.6826243824	0.6047839242
24	0.5715348837	0.682203936	0.6044541135
25	0.5714108527	0.6819032913	0.6052436168
26	0.5729612403	0.6814879995	0.6059288085
27	0.5746976744	0.6811522277	0.6082486005
28	0.576	0.6806990253	0.6094704975
29	0.5777364341	0.6803662193	0.6101791951
30	0.5796589147	0.6800583245	0.6130395067
31	0.5788527132	0.6797929675	0.6116099514
32	0.5793488372	0.6794067781	0.6117566253
33	0.5796589147	0.679105134	0.6119317531
34	0.5819534884	0.6787285681	0.6140722505
35	0.5828217054	0.6784537037	0.6156219645
36	0.584496124	0.6781239702	0.616792496
37	0.5857364341	0.6777768703	0.6179800984
38	0.5866666667	0.6774472476	0.6195993379
39	0.5867906977	0.6772369936	0.6192788983
40	0.5874108527	0.6769161273	0.6194153653
41	0.5873488372	0.6766243301	0.6197714286
42	0.5877829457	0.6763064243	0.6198020935
43	0.5884651163	0.6760642294	0.6204963971
44	0.5902015504	0.6756952165	0.6224
45	0.5897674419	0.6753081947	0.6219351889
46	0.592	0.6749533783	0.6234331177
47	0.5924341085	0.6745458816	0.6243712849
48	0.5929922481	0.6741527522	0.6252498144
49	0.5934263566	0.6738828302	0.625328609
50	0.5955968992	0.6735377715	0.6274778635
51	0.5962170543	0.6732831409	0.6276236774
52	0.5963410853	0.672861508	0.6273117664
53	0.5978294574	0.6726057354	0.6289833515
54	0.5979534884	0.6721584032	0.6284600837
55	0.599503876	0.6719197708	0.6302107192
56	0.6009302326	0.6715065402	0.6314644064
57	0.6014883721	0.6712154177	0.6317900527
58	0.6018604651	0.6709746612	0.6321338529
59	0.6028527132	0.6707074443	0.6325453294
60	0.6037209302	0.6702293738	0.6331802526
61	0.6044031008	0.6699631035	0.6342945594
62	0.6051472868	0.6696929372	0.6346473862
63	0.6045891473	0.6695379872	0.6341939185
64	0.6062015504	0.6691831941	0.6355601469
65	0.6057674419	0.6687961699	0.635137462
66	0.6068217054	0.6683681628	0.6359251177
67	0.6075658915	0.6680139348	0.6366142184
68	0.608248062	0.6677038077	0.6372250617
69	0.6099844961	0.6673202006	0.6378764323
70	0.6101085271	0.6670346981	0.6376995332
71	0.6117829457	0.6666807495	0.6393593732
72	0.6119069767	0.6663709215	0.6398895155
73	0.6142635659	0.6661508694	0.6424465394
74	0.6146356589	0.6658804182	0.6423391274
75	0.6163100775	0.6656142839	0.643872676
76	0.6181705426	0.6653007147	0.6457218482
77	0.6192868217	0.6649911282	0.6472041837
78	0.6194728682	0.6646803937	0.6473157834
79	0.6206511628	0.6643642351	0.6480639779
80	0.6217054264	0.6639606264	0.6493043578
81	0.6226976744	0.6635840864	0.6500632693
82	0.6235658915	0.6631682456	0.6508283479
83	0.6241860465	0.6630006875	0.6513634795
84	0.6257984496	0.6627018906	0.652979066
85	0.6274108527	0.6623259215	0.654593538
86	0.6280310078	0.6620689598	0.6550891317
87	0.6282790698	0.6617507365	0.6553984132
88	0.6291472868	0.6613998304	0.6565192418
89	0.6311937984	0.6609940525	0.6577660125
90	0.632	0.6607876246	0.6586123576
91	0.632744186	0.660433036	0.6592635213
92	0.6335503876	0.6600610784	0.6601874748
93	0.6343565891	0.6598428763	0.6608765674
94	0.6354108527	0.6594886012	0.661406439
95	0.6364031008	0.6590905671	0.6625999885
96	0.6378294574	0.6588693081	0.663981588
97	0.6389457364	0.6585733822	0.6647085925
98	0.6393178295	0.6583897959	0.6646292238
99	0.6408682171	0.6580145806	0.6658588656
100	0.6434108527	0.6576332475	0.6688169566
101	0.6440930233	0.6573794241	0.6691265494
102	0.6444031008	0.6571395889	0.6695481789
103	0.6455193798	0.6568281693	0.6702814952
104	0.6465116279	0.6564867842	0.6713181871
105	0.648124031	0.6562172541	0.6725908829
106	0.6491782946	0.6559949926	0.6735153229
107	0.6496124031	0.6556368491	0.6741637832
108	0.6513488372	0.6553373876	0.6755914599
109	0.6532713178	0.654873411	0.6772871573
110	0.6537054264	0.6546769645	0.6775981524
111	0.6550077519	0.6542658911	0.6791625815
112	0.6550077519	0.6539623061	0.6789774367
113	0.6561860465	0.6537045077	0.6797227036
114	0.6576124031	0.6533055741	0.6807747904
115	0.6589147287	0.6528973876	0.6820809249
116	0.6600310078	0.6524677438	0.6830114491
117	0.6612713178	0.6521300807	0.6844598498
118	0.6617674419	0.6518863313	0.6845575477
119	0.6623875969	0.6516844611	0.685172334
120	0.6629457364	0.6514299017	0.6858199896
121	0.6648062016	0.6512190303	0.6874819312
122	0.6653023256	0.6509418498	0.6878361964
123	0.6651782946	0.6505813054	0.6876843871
124	0.6663565891	0.6503179282	0.6889094484
125	0.6673488372	0.6499829928	0.6897269783
126	0.6691472868	0.6495514226	0.6908500898
127	0.6702015504	0.6491830064	0.691674397
128	0.6706976744	0.6489020546	0.692173913
129	0.6714418605	0.6485552111	0.6930475087
130	0.6709457364	0.6482512177	0.6926552363
131	0.6719379845	0.6479390165	0.693404428
132	0.6737364341	0.6475732501	0.6948552868
133	0.6755968992	0.6471638867	0.6967712017
134	0.6757209302	0.6468586737	0.6965705333
135	0.6750387597	0.6466440595	0.6957733395
136	0.6760930233	0.6463350263	0.6965312881
137	0.6776434109	0.6460645027	0.6978960828
138	0.679875969	0.6457189374	0.6995693167
139	0.6804341085	0.6454592135	0.6998660376
140	0.6814883721	0.6450594894	0.7008387698
141	0.6822945736	0.6447860364	0.7018217799
142	0.6842790698	0.6443861745	0.7036843024
143	0.6843410853	0.6441069451	0.7037942272
144	0.6857054264	0.6437570777	0.7049371216
145	0.6863875969	0.6435000069	0.7053888727
146	0.6866976744	0.6432013311	0.7056630156
147	0.6879379845	0.6429295607	0.7066573394
148	0.6896124031	0.6426440959	0.7086898318
149	0.6915968992	0.6422986049	0.7105860443
150	0.6917829457	0.6419610208	0.7104404568
151	0.6930852713	0.6416743982	0.7112433631
152	0.6951937984	0.6411940118	0.7132271428
153	0.6960620155	0.6407823497	0.713810219
154	0.6978604651	0.6403440412	0.7152875175
155	0.6993488372	0.639946232	0.7167231506
156	0.6997209302	0.6396991186	0.7170737408
157	0.7002170543	0.6394717312	0.7176071971
158	0.7021395349	0.6389861864	0.7194673208
159	0.7022015504	0.6385877637	0.7195421096
160	0.7028217054	0.6382256603	0.7202895167
161	0.703627907	0.6377496071	0.7209343066
162	0.704620155	0.6373317963	0.7216735815
163	0.7070387597	0.6369133152	0.7243873979
164	0.7092713178	0.6363416274	0.7263280794
165	0.7098294574	0.6359430685	0.7266460244
166	0.7114418605	0.6355527994	0.7281967405
167	0.7138604651	0.6350908001	0.7306165343
168	0.7157829457	0.634571024	0.7321919009
169	0.7174573643	0.6341903468	0.7337540907
170	0.7204341085	0.6336925348	0.7367130008
171	0.7214263566	0.6333023981	0.7370331343
172	0.7233488372	0.6328295026	0.7384651463
173	0.7242170543	0.6323186787	0.7390717597
174	0.7252713178	0.6317246507	0.7398402631
175	0.7253953488	0.631417468	0.7398660557
176	0.7268837209	0.6310789517	0.74136716
177	0.7286821705	0.6305973492	0.7430249633
178	0.7288062016	0.6301892138	0.7433836042
179	0.7301705426	0.6298266015	0.744554688
180	0.7319689922	0.6292917244	0.7462721616
181	0.7339534884	0.628813398	0.7475876677
